Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051301~cell division	23	29.11392405063291	4.447400685075036E-20	CDK1, PRC1, NUF2, TPX2, KIF18B, NUSAP1, ANLN, BIRC5, AURKB, CDC25C, RACGAP1, ECT2, SMC2, CCNB1, SPC25, FAM64A, CCNB2, SPAG5, BRE, BUB1B, CDCA5, CCNA2, CDCA3	74	374	18082	15.02695476224888	2.4327281747360446E-17	2.4327281747360446E-17	6.48530598633902E-17
GOTERM_BP_DIRECT	GO:0007067~mitotic nuclear division	20	25.31645569620253	1.2980234572029674E-18	CDK1, NUF2, TPX2, KIF18B, NUSAP1, ANLN, BIRC5, AURKB, CDC25C, SMC2, CCNB1, SPC25, FAM64A, CCNB2, SPAG5, BRE, BUB1B, CDCA5, CCNA2, CDCA3	74	277	18082	17.642696848473022	7.100188310900232E-16	3.550094155450116E-16	1.8928088322819615E-15
GOTERM_BP_DIRECT	GO:0007049~cell cycle	25	31.645569620253166	8.253768816854844E-18	PRC1, CHEK1, ANLN, AURKB, SPC25, CDCA5, CCNA2, CDCA3, CDK1, MKI67, NUF2, TPX2, KIF18B, NUSAP1, BIRC5, CDC25C, RACGAP1, ECT2, SMC2, CCNB1, FAM64A, CCNB2, SPAG5, BRE, BUB1B	74	614	18082	9.949159256976845	4.5148115428196E-15	1.5049371809398667E-15	1.203584298069692E-14
GOTERM_BP_DIRECT	GO:0007076~mitotic chromosome condensation	4	5.063291139240507	1.753844326419695E-5	NCAPG, NUSAP1, CDCA5, SMC2	74	13	18082	75.18503118503119	0.009547740702583574	0.00239552927776987	0.025571931293244532
GOTERM_BP_DIRECT	GO:0051988~regulation of attachment of spindle microtubules to kinetochore	3	3.79746835443038	3.33208947183899E-4	SPAG5, RACGAP1, ECT2	74	7	18082	104.72200772200772	0.16664509161758367	0.035802503448931655	0.4847952773806785
GOTERM_BP_DIRECT	GO:0007059~chromosome segregation	5	6.329113924050633	4.606392179363954E-4	SPC25, SPAG5, CENPF, BIRC5, TOP2A	74	89	18082	13.727604008502885	0.22277679410297802	0.041134646773301586	0.6696178757415794
GOTERM_BP_DIRECT	GO:0034501~protein localization to kinetochore	3	3.79746835443038	7.08435562727191E-4	CDK1, BUB1B, AURKB	74	10	18082	73.30540540540541	0.32135124455853736	0.053873310306301936	1.0281022952481123
GOTERM_BP_DIRECT	GO:0030261~chromosome condensation	3	3.79746835443038	0.001859768677654146	CDK1, SMC2, TOP2A	74	16	18082	45.81587837837838	0.6387700729753063	0.11951296505372999	2.677973068353645
GOTERM_BP_DIRECT	GO:0000070~mitotic sister chromatid segregation	3	3.79746835443038	0.0038500649028379965	SPAG5, KIF18B, NUSAP1	74	23	18082	31.871915393654525	0.8787680987199636	0.20899421927786388	5.469809013286997
GOTERM_BP_DIRECT	GO:0007052~mitotic spindle organization	3	3.79746835443038	0.005677862768798504	CCNB1, SPC25, AURKB	74	28	18082	26.18050193050193	0.9556055838403239	0.26762614019349107	7.967820935092695
GOTERM_BP_DIRECT	GO:0000281~mitotic cytokinesis	3	3.79746835443038	0.006500142919637826	NUSAP1, ANLN, RACGAP1	74	30	18082	24.435135135135138	0.9717647584864003	0.2769591005171278	9.071439993243558
GOTERM_BP_DIRECT	GO:0045931~positive regulation of mitotic cell cycle	3	3.79746835443038	0.007373220430595698	CCNB1, CDK1, BIRC5	74	32	18082	22.90793918918919	0.9825443818737241	0.28633466418738773	10.22973580204839
GOTERM_BP_DIRECT	GO:0000086~G2/M transition of mitotic cell cycle	3	3.79746835443038	0.007828542465366087	CHEK1, BIRC5, CDC25C	74	33	18082	22.213759213759214	0.9864187140580775	0.28157726292134866	10.828336219357004
GOTERM_BP_DIRECT	GO:0032147~activation of protein kinase activity	3	3.79746835443038	0.007828542465366087	CALCA, TPX2, ECT2	74	33	18082	22.213759213759214	0.9864187140580775	0.28157726292134866	10.828336219357004
GOTERM_BP_DIRECT	GO:0032467~positive regulation of cytokinesis	3	3.79746835443038	0.007828542465366087	AURKB, RACGAP1, ECT2	74	33	18082	22.213759213759214	0.9864187140580775	0.28157726292134866	10.828336219357004
GOTERM_BP_DIRECT	GO:0007080~mitotic metaphase plate congression	3	3.79746835443038	0.008296246224840154	CCNB1, KIF22, CDCA5	74	34	18082	21.560413354531	0.9895062541007251	0.2778325728569956	11.439342161548483
GOTERM_BP_DIRECT	GO:0006468~protein phosphorylation	8	10.126582278481013	0.008515568914656295	CCNB1, CDK1, BUB1B, CHEK1, BIRC5, PKDCC, PBK, AURKB	74	576	18082	3.3937687687687688	0.9907020593718998	0.26791902977653326	11.724519163234671
GOTERM_BP_DIRECT	GO:0000910~cytokinesis	3	3.79746835443038	0.009772605321925022	PRC1, BIRC5, ECT2	74	37	18082	19.81227173119065	0.9953547349040924	0.28519405399883113	13.342564836072368
GOTERM_BP_DIRECT	GO:0045787~positive regulation of cell cycle	3	3.79746835443038	0.011356672807907644	CCNB1, CENPF, BIRC5	74	40	18082	18.326351351351352	0.9980649919295826	0.307542529848324	15.342227577443202
GOTERM_BP_DIRECT	GO:0031577~spindle checkpoint	2	2.5316455696202533	0.01206332628482859	BIRC5, AURKB	74	3	18082	162.90090090090092	0.9986913553019985	0.30845024698284074	16.220341793626435
GOTERM_BP_DIRECT	GO:0008283~cell proliferation	5	6.329113924050633	0.012068044045669695	CDK1, MKI67, BOK, AURKB, PURB	74	220	18082	5.553439803439804	0.9986947691944337	0.29499196088055235	16.22617564723392
GOTERM_BP_DIRECT	GO:0018107~peptidyl-threonine phosphorylation	3	3.79746835443038	0.013045708516872614	CDK1, CHEK1, PBK	74	43	18082	17.047768698931492	0.9992405822166273	0.30172894778175374	17.426998570949102
GOTERM_BP_DIRECT	GO:0007265~Ras protein signal transduction	3	3.79746835443038	0.015456395336326912	IQGAP3, CCNA2, DHCR24	74	47	18082	15.596894767107534	0.9998006938785879	0.33352065134204767	20.31978386036387
GOTERM_BP_DIRECT	GO:0031100~organ regeneration	3	3.79746835443038	0.021513145800575742	CDK1, MKI67, CCNA2	74	56	18082	13.090250965250965	0.9999931831700051	0.4176784810032109	27.176644742013657
GOTERM_BP_DIRECT	GO:0010212~response to ionizing radiation	3	3.79746835443038	0.02223799558486511	BRE, MTA1, RAD54B	74	57	18082	12.860597439544808	0.9999954549705159	0.4142409769999732	27.959361035665374
GOTERM_BP_DIRECT	GO:0051256~mitotic spindle midzone assembly	2	2.5316455696202533	0.023983098461312753	AURKB, RACGAP1	74	6	18082	81.45045045045046	0.9999982893385272	0.42493733882731266	29.81175430008235
GOTERM_BP_DIRECT	GO:0006302~double-strand break repair	3	3.79746835443038	0.026794735999035278	BRE, MTA1, CDCA5	74	63	18082	11.635778635778637	0.9999996469519753	0.44803269784330635	32.70319273240613
GOTERM_BP_DIRECT	GO:0006974~cellular response to DNA damage stimulus	6	7.59493670886076	0.02735074420425036	PRPF19, NEIL3, BRE, CHEK1, RAD54B, TOP2A	74	420	18082	3.490733590733591	0.9999997417302257	0.4420205368081491	33.26167730958074
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	7	8.860759493670885	0.027454936113095827	CDK1, BOK, TPX2, BRE, BUB1B, BIRC5, PURB	74	570	18082	3.0008060692271217	0.9999997564296216	0.43106825686738415	33.36585178544741
GOTERM_BP_DIRECT	GO:0097211~cellular response to gonadotropin-releasing hormone	2	2.5316455696202533	0.0279247467143269	AKR1C18, MGARP	74	7	18082	69.81467181467181	0.9999998130014313	0.4249461570465122	33.83370534863865
GOTERM_BP_DIRECT	GO:0031536~positive regulation of exit from mitosis	2	2.5316455696202533	0.03576100138352488	BIRC5, CDCA5	74	9	18082	54.3003003003003	0.9999999977662899	0.49685799071920655	41.19998916735468
GOTERM_BP_DIRECT	GO:0006268~DNA unwinding involved in DNA replication	2	2.5316455696202533	0.039655730918858746	TOP2A, PURB	74	10	18082	48.87027027027027	0.999999999755915	0.5218273808688758	44.569911708142904
GOTERM_BP_DIRECT	GO:0006281~DNA repair	5	6.329113924050633	0.039675895397253615	PRPF19, KIF22, NEIL3, BRE, CHEK1	74	318	18082	3.842002379738229	0.9999999997587024	0.5104920217151947	44.586881163351165
GOTERM_BP_DIRECT	GO:0055015~ventricular cardiac muscle cell development	2	2.5316455696202533	0.043534943602967585	CCNB1, CDK1	74	11	18082	44.427518427518436	0.9999999999733313	0.5327357375028646	47.74686959924315
GOTERM_BP_DIRECT	GO:0010389~regulation of G2/M transition of mitotic cell cycle	2	2.5316455696202533	0.04739870040445674	CENPF, CCNA2	74	12	18082	40.72522522522523	0.9999999999970866	0.552867064541523	50.741902372184256
GOTERM_BP_DIRECT	GO:0051310~metaphase plate congression	2	2.5316455696202533	0.04739870040445674	KIF22, CENPF	74	12	18082	40.72522522522523	0.9999999999970866	0.552867064541523	50.741902372184256
GOTERM_BP_DIRECT	GO:0000226~microtubule cytoskeleton organization	3	3.79746835443038	0.05749083618289559	PRC1, NUSAP1, BIRC5	74	96	18082	7.63597972972973	0.9999999999999915	0.6142549303051406	57.827805372876014
