Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155~cell adhesion	9	12.857142857142856	1.68700145408565E-4	ICAM1, COMP, TNC, NFASC, GPNMB, THBS1, THBS2, DPP4, THBS4	60	485	18082	5.592371134020619	0.10220047959672607	0.10220047959672607	0.25100975830728567
GOTERM_BP_DIRECT	GO:0030199~collagen fibril organization	4	5.714285714285714	2.773921392161405E-4	FMOD, MKX, LOX, COL11A1	60	39	18082	30.909401709401706	0.16245322481962088	0.08482418345960474	0.41242162747117117
GOTERM_BP_DIRECT	GO:0045907~positive regulation of vasoconstriction	4	5.714285714285714	4.24760078559217E-4	ICAM1, PTGS2, AVPR1A, UTS2R	60	45	18082	26.78814814814815	0.23774897703189624	0.08651937865705961	0.6308796758722202
GOTERM_BP_DIRECT	GO:0071333~cellular response to glucose stimulus	4	5.714285714285714	0.0016110772715829816	NOX4, MEF2C, ICAM1, SERPINF1	60	71	18082	16.978403755868545	0.6431031779785247	0.2270779978214147	2.3732605688458475
GOTERM_BP_DIRECT	GO:0016525~negative regulation of angiogenesis	4	5.714285714285714	0.0016772491015654687	SERPINF1, THBS1, THBS2, THBS4	60	72	18082	16.74259259259259	0.6579033529930502	0.19308133096084257	2.469604936526937
GOTERM_BP_DIRECT	GO:0010575~positive regulation of vascular endothelial growth factor production	3	4.285714285714286	0.0027584481486263657	PTGS2, C3, FLT4	60	24	18082	37.670833333333334	0.8288275813019594	0.2548581348159136	4.031290675889432
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	5	7.142857142857142	0.003298499372487239	NOX4, ICAM1, C3, FLT4, GPNMB	60	188	18082	8.015070921985815	0.8789104535119276	0.26036877735788533	4.802575807479192
GOTERM_BP_DIRECT	GO:0007569~cell aging	3	4.285714285714286	0.004293313424245806	NOX4, ICAM1, PRELP	60	30	18082	30.13666666666667	0.9360295093308422	0.29083472752053996	6.208224367813542
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	4	5.714285714285714	0.00723541142539075	C3, F3, UTS2R, THBS1	60	121	18082	9.962534435261707	0.9903445738213368	0.40284686532220415	10.252866528205562
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell proliferation	7	10.0	0.008288821359793343	PTGS2, TNC, FLT4, AVPR1A, CNTFR, THBS1, DPP4	60	542	18082	3.8921894218942192	0.9951005386769818	0.4124905813799734	11.661041906242664
