"","x"
"1","ENSMUSG00000047281"
"2","ENSMUSG00000032291"
"3","ENSMUSG00000059824"
"4","ENSMUSG00000055937"
"5","ENSMUSG00000032262"
"6","ENSMUSG00000057454"
"7","ENSMUSG00000035557"
"8","ENSMUSG00000101939"
"9","ENSMUSG00000046352"
"10","ENSMUSG00000032013"
"11","ENSMUSG00000084897"
"12","ENSMUSG00000049685"
"13","ENSMUSG00000035831"
"14","ENSMUSG00000027208"
"15","ENSMUSG00000063661"
"16","ENSMUSG00000070990"
"17","ENSMUSG00000024922"
"18","ENSMUSG00000061048"
"19","ENSMUSG00000021469"
"20","ENSMUSG00000051397"
"21","ENSMUSG00000079013"
"22","ENSMUSG00000073403"
"23","ENSMUSG00000002769"
"24","ENSMUSG00000001504"
"25","ENSMUSG00000027985"
"26","ENSMUSG00000017588"
"27","ENSMUSG00000060962"
"28","ENSMUSG00000092586"
"29","ENSMUSG00000024678"
"30","ENSMUSG00000052909"
"31","ENSMUSG00000069441"
"32","ENSMUSG00000042306"
"33","ENSMUSG00000038550"
"34","ENSMUSG00000025991"
"35","ENSMUSG00000023391"
"36","ENSMUSG00000022986"
"37","ENSMUSG00000042988"
"38","ENSMUSG00000019880"
"39","ENSMUSG00000025202"
"40","ENSMUSG00000071019"
"41","ENSMUSG00000021604"
"42","ENSMUSG00000057948"
"43","ENSMUSG00000001510"
"44","ENSMUSG00000049404"
"45","ENSMUSG00000027869"
"46","ENSMUSG00000040564"
"47","ENSMUSG00000021367"
"48","ENSMUSG00000048373"
"49","ENSMUSG00000053522"
"50","ENSMUSG00000041012"
"51","ENSMUSG00000040728"
"52","ENSMUSG00000029337"
"53","ENSMUSG00000075296"
"54","ENSMUSG00000040055"
"55","ENSMUSG00000071341"
"56","ENSMUSG00000027380"
"57","ENSMUSG00000020090"
"58","ENSMUSG00000034226"
"59","ENSMUSG00000032278"
"60","ENSMUSG00000043430"
"61","ENSMUSG00000079465"
"62","ENSMUSG00000070495"
