"","x"
"1","ENSMUSG00000053469"
"2","ENSMUSG00000052296"
"3","ENSMUSG00000033792"
"4","ENSMUSG00000090035"
"5","ENSMUSG00000040648"
"6","ENSMUSG00000034731"
"7","ENSMUSG00000026077"
"8","ENSMUSG00000024978"
"9","ENSMUSG00000048232"
"10","ENSMUSG00000101645"
"11","ENSMUSG00000002343"
"12","ENSMUSG00000039620"
"13","ENSMUSG00000047419"
"14","ENSMUSG00000054203"
"15","ENSMUSG00000047036"
"16","ENSMUSG00000056900"
"17","ENSMUSG00000098428"
"18","ENSMUSG00000092329"
"19","ENSMUSG00000021277"
"20","ENSMUSG00000002032"
"21","ENSMUSG00000042029"
"22","ENSMUSG00000051278"
"23","ENSMUSG00000069227"
"24","ENSMUSG00000024542"
"25","ENSMUSG00000036208"
"26","ENSMUSG00000050271"
"27","ENSMUSG00000021071"
"28","ENSMUSG00000036298"
"29","ENSMUSG00000051977"
"30","ENSMUSG00000102697"
"31","ENSMUSG00000021720"
"32","ENSMUSG00000019732"
"33","ENSMUSG00000015944"
"34","ENSMUSG00000073490"
"35","ENSMUSG00000026407"
"36","ENSMUSG00000054293"
"37","ENSMUSG00000067928"
"38","ENSMUSG00000034303"
"39","ENSMUSG00000047502"
"40","ENSMUSG00000034906"
"41","ENSMUSG00000029314"
"42","ENSMUSG00000000037"
"43","ENSMUSG00000049553"
"44","ENSMUSG00000035403"
"45","ENSMUSG00000067878"
"46","ENSMUSG00000058922"
"47","ENSMUSG00000026764"
"48","ENSMUSG00000019359"
"49","ENSMUSG00000031297"
"50","ENSMUSG00000054659"
"51","ENSMUSG00000071661"
"52","ENSMUSG00000002020"
"53","ENSMUSG00000032528"
"54","ENSMUSG00000091387"
"55","ENSMUSG00000022148"
"56","ENSMUSG00000026828"
"57","ENSMUSG00000052504"
"58","ENSMUSG00000079362"
"59","ENSMUSG00000038670"
"60","ENSMUSG00000074283"
"61","ENSMUSG00000027684"
"62","ENSMUSG00000011008"
"63","ENSMUSG00000024261"
"64","ENSMUSG00000050677"
"65","ENSMUSG00000030507"
"66","ENSMUSG00000047953"
"67","ENSMUSG00000040829"
"68","ENSMUSG00000047746"
"69","ENSMUSG00000036067"
"70","ENSMUSG00000003283"
"71","ENSMUSG00000043719"
"72","ENSMUSG00000104346"
"73","ENSMUSG00000028337"
"74","ENSMUSG00000071036"
"75","ENSMUSG00000010122"
"76","ENSMUSG00000052572"
"77","ENSMUSG00000071047"
"78","ENSMUSG00000001027"
"79","ENSMUSG00000028373"
"80","ENSMUSG00000051341"
"81","ENSMUSG00000013483"
"82","ENSMUSG00000033276"
"83","ENSMUSG00000036923"
"84","ENSMUSG00000098754"
"85","ENSMUSG00000049134"
"86","ENSMUSG00000036712"
"87","ENSMUSG00000044576"
"88","ENSMUSG00000099032"
"89","ENSMUSG00000026692"
"90","ENSMUSG00000030518"
