"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000041577",48642.052011963,1.50003424274899,0.0917825107366929,4.30532805146884e-61,5.89356356965569e-57,"Prelp"
"ENSMUSG00000030862",14139.1657368087,1.59954040773533,0.101079613528478,1.27845589989068e-57,8.75039140680175e-54,"Cpxm2"
"ENSMUSG00000006369",7039.2799185331,1.97386106844964,0.136811166025772,1.84054773046242e-49,8.39841929410002e-46,"Fbln1"
"ENSMUSG00000021702",148704.102263097,1.4192289699665,0.10435954471838,4.54345859920705e-43,1.55488511911363e-39,"Thbs4"
"ENSMUSG00000023885",35997.4179477757,1.26078608275364,0.101978716202657,6.35966895540409e-36,1.74115016661053e-32,"Thbs2"
"ENSMUSG00000028989",41961.8461964735,1.7574093757549,0.148217302293351,5.13341771106376e-34,1.1711892507792e-30,"Angptl7"
"ENSMUSG00000041559",234216.784396536,1.46087535010863,0.139091679004998,7.71872964932666e-27,1.32077112712041e-23,"Fmod"
"ENSMUSG00000037405",9479.95298047597,1.15504693093671,0.113632124389289,3.2895782792265e-25,5.00344856270351e-22,"Icam1"
"ENSMUSG00000039084",52286.8462830248,1.43407380607475,0.146191606479605,9.97149997522655e-24,1.36499863160876e-20,"Chad"
"ENSMUSG00000027966",2499.94073616641,1.25196795994756,0.137887448218205,1.32610586727686e-20,1.51275526809608e-17,"Col11a1"
"ENSMUSG00000037138",2131.05009856966,1.32620169162596,0.147299090221172,2.55338605627494e-20,2.68871551725751e-17,"Aff3"
"ENSMUSG00000017897",2047.97527669093,1.1028500945291,0.126156390250081,1.52659872875516e-19,1.39317399986196e-16,"Eya2"
"ENSMUSG00000024529",13890.2708698584,1.34833832422258,0.154460449126191,2.81332208222126e-19,2.40697287397043e-16,"Lox"
"ENSMUSG00000031849",25964.1184484736,1.37839014375329,0.169598242290921,4.24178477496903e-17,2.52459964280657e-14,"Comp"
"ENSMUSG00000047420",795.670838211924,1.50126591729831,0.191281931371513,2.81677015023341e-16,1.60661527443938e-13,"Fam180a"
"ENSMUSG00000009772",602.898234545366,1.47904102896432,0.196106768468666,3.18273511152423e-15,1.50236072212604e-12,"Nuak2"
"ENSMUSG00000022150",2002.82585167829,1.01023440884201,0.141576395428688,1.56443139969657e-14,6.69234419701447e-12,"Dab2"
"ENSMUSG00000024164",4196.90427305434,1.61052570411912,0.223252946003401,2.10063313550191e-14,8.71380817935930e-12,"C3"
"ENSMUSG00000028364",22515.0071785465,1.3290698816081,0.183776697789041,4.05873351052512e-14,1.63411773604642e-11,"Tnc"
"ENSMUSG00000044006",28197.8956826309,1.31978104371868,0.18491075412425,7.9057639028044e-14,2.84794742277604e-11,"Cilp2"
"ENSMUSG00000029816",4294.27435664892,1.13292294511321,0.165715991931917,3.5201254168098e-13,1.17529260562706e-10,"Gpnmb"
"ENSMUSG00000032925",10106.7069643602,1.09636966448399,0.162097423738967,4.3654907712476e-13,1.42283817065734e-10,"Itgbl1"
"ENSMUSG00000020583",713.389684368952,1.45202576007533,0.216047301496078,1.11090110964233e-12,3.23555857231785e-10,"Matn3"
"ENSMUSG00000020402",3146.15788060796,1.43905393537745,0.223813932297481,7.31867518119952e-12,1.96441852069491e-09,"Vdac1"
"ENSMUSG00000000753",68191.4721734022,1.02325276352896,0.166394385009197,1.00531228291775e-11,2.45744997158233e-09,"Serpinf1"
"ENSMUSG00000055407",1216.67223790227,1.25850922500977,0.201383457118159,2.22064705499083e-11,4.8251488152015e-09,"Map6"
"ENSMUSG00000021062",749.683422855219,1.10717206478592,0.185176831008136,5.31971684395882e-11,1.07331308349835e-08,"Rab15"
"ENSMUSG00000061013",2320.50685690616,1.26582001243249,0.208659014415868,6.45014367613067e-11,1.23144728139748e-08,"Mkx"
"ENSMUSG00000040152",61861.9330682159,1.00769964516969,0.17538149004504,8.71862518243465e-11,1.59132346829797e-08,"Thbs1"
"ENSMUSG00000026435",719.123308835814,1.19930529712691,0.207561706830347,2.5680837382646e-10,4.28713393818343e-08,"Slc45a3"
"ENSMUSG00000039321",679.161544525145,1.38654432084966,0.238467853260027,2.75830787707313e-10,4.49505672967311e-08,"Uts2r"
"ENSMUSG00000054641",5277.36922035702,1.12267736178433,0.205941394575004,9.53720052929418e-10,1.37426040047903e-07,"Mmrn1"
"ENSMUSG00000028128",4683.92083408381,1.12987012383428,0.210457018195276,1.49369106974182e-09,1.96607087054767e-07,"F3"
"ENSMUSG00000006014",9635.55378078822,1.16095593437214,0.216392677587688,1.77048108444402e-09,2.30820148237659e-07,"Prg4"
"ENSMUSG00000020357",1297.24735903197,1.07455168391676,0.213875160286531,5.64739911693114e-09,6.6644178027302e-07,"Flt4"
"ENSMUSG00000054162",581.628428377147,1.10365408449493,0.225278052151089,1.17066089445766e-08,1.25196695189304e-06,"Spock3"
"ENSMUSG00000028780",2459.3572771671,1.10885078673219,0.226645013285709,1.23708531562981e-08,1.29270693783637e-06,"Sema3c"
"ENSMUSG00000063954",112.772788470967,3.01141599995949,1.06144127366973,1.4862879798445e-08,1.51834299672323e-06,"Hist2h2aa1"
"ENSMUSG00000026442",304.789763335697,1.34929560300168,0.275783245100395,2.19511172855713e-08,2.16179024836105e-06,"Nfasc"
"ENSMUSG00000079022",3863.47325126428,1.03052168202042,0.221899772776741,2.45502275896494e-08,2.35012633199099e-06,"Col22a1"
"ENSMUSG00000051537",563.554086459707,1.60288011738632,0.343358723428239,2.78404706472315e-08,2.59491706173551e-06,"Gm5124"
"ENSMUSG00000035000",1556.6092239942,1.11256033525631,0.237356722241732,3.06687606366325e-08,2.82525558448445e-06,"Dpp4"
"ENSMUSG00000021319",1501.95883405483,1.44759472253833,0.303824141682115,3.3326340285489e-08,3.02122034548384e-06,"Sfrp4"
"ENSMUSG00000090667",366.981773024457,1.45097984778368,0.30659312215085,3.74689764730111e-08,3.37442644038848e-06,"Gm765"
"ENSMUSG00000041482",654.411363759491,1.36294131557431,0.311546302369852,1.5594432535417e-07,1.14769992998561e-05,"Piezo2"
"ENSMUSG00000020123",2670.21776792517,1.39277176625409,0.322009118596382,1.78811403784299e-07,1.30793627918325e-05,"Avpr1a"
"ENSMUSG00000027318",298.634362256062,1.21146777481368,0.291120851290827,3.11317726741071e-07,2.13081418067926e-05,"Adam33"
"ENSMUSG00000027015",400.642750101939,1.10265963302636,0.275173627877433,4.31206095066513e-07,2.81084773112643e-05,"Cybrd1"
"ENSMUSG00000025969",972.012616032866,1.03343466913602,0.266625008899319,5.73794835922601e-07,3.57971034751624e-05,"Nrp2"
"ENSMUSG00000026873",325.641094991461,1.158498641236,0.302528061773522,8.98250630034525e-07,5.2511630791889e-05,"Phf19"
"ENSMUSG00000057722",1986.4885293116,1.112032207846,0.296515970943553,1.08917469718028e-06,6.11053788102495e-05,"Lepr"
"ENSMUSG00000036596",490.150438070916,1.23401857482504,0.336723679574551,1.58277389801444e-06,8.53015428736992e-05,"Cpz"
"ENSMUSG00000031952",252.554376195332,1.30051495263841,0.357735416759985,1.64527486313569e-06,8.79772171932203e-05,"Chst5"
"ENSMUSG00000032487",1664.08877494017,1.00565593409821,0.281989647820838,1.66797078761097e-06,8.88437825354339e-05,"Ptgs2"
"ENSMUSG00000024587",1060.63895284829,1.23259764199275,0.33885025625271,1.716479483154e-06,9.07215739185141e-05,"Nars"
"ENSMUSG00000021091",615.138186136784,1.01920221827159,0.289362013336508,2.00678240044837e-06,0.000102887057227482,"Serpina3n"
"ENSMUSG00000030562",1256.13908746516,1.01298760218596,0.289226873870508,2.12639471191628e-06,0.000107641799057858,"Nox4"
"ENSMUSG00000058297",546.95044595184,1.09096561351425,0.309012382369389,2.19897905291891e-06,0.000109461179110571,"Spock2"
"ENSMUSG00000034825",486.435228469324,1.32678585204084,0.387978925624217,2.7758163351732e-06,0.000133744408330393,"Nrip3"
"ENSMUSG00000020953",1542.08834605942,1.04773583437229,0.343555498698673,9.72239111030533e-06,0.000385767570750637,"Coch"
"ENSMUSG00000044405",56.9086764628455,1.33301644007309,0.760636922341153,2.0087806840078e-05,0.000710547772180434,"Adig"
