"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000033715",921.588376223288,-2.84980866778696,0.162936881650256,1.28155284582513e-69,1.91592150450857e-65,"Akr1c14"
"ENSMUSG00000030732",2946.51941145317,-1.86470026598724,0.131664976000189,8.62956043192416e-47,3.22529821143165e-43,"Chrdl2"
"ENSMUSG00000030739",873.067972593443,-2.7374008429569,0.24910404124529,3.984229462948e-29,5.95642304710726e-26,"Myh14"
"ENSMUSG00000024924",1375.29088033644,-1.12770323341142,0.132673785960101,1.81409500238242e-21,1.50670668253429e-18,"Vldlr"
"ENSMUSG00000037138",2131.05009856966,-1.11676478686731,0.131175810855977,2.10811546805991e-21,1.65875401302608e-18,"Aff3"
"ENSMUSG00000094065",2966.12552973595,-2.28867783516572,0.275702770590299,1.15135474426987e-17,5.55250110543053e-15,"Gm21541"
"ENSMUSG00000032373",2455.84701363437,-1.23132070537812,0.180359286856427,1.86309453026648e-16,8.44038279620722e-14,"Car12"
"ENSMUSG00000059436",576.498902824501,-1.2334125903121,0.192776942223303,4.00961457303664e-15,1.53701891966405e-12,"Max"
"ENSMUSG00000038332",1925.58933233199,-1.64333872470236,0.255256525088331,2.70797115958576e-14,9.63908781804932e-12,"Sesn1"
"ENSMUSG00000101939",375.599736643202,-10.2332181486015,1.44541675987372,3.12302923539038e-14,1.08579737369968e-11,"Gm28438"
"ENSMUSG00000037443",1491.12151790443,-1.12705719658162,0.193065091678192,7.597404967621e-13,2.06511280483516e-10,"Cep85"
"ENSMUSG00000037816",754.672283718239,-1.0329712805852,0.174309757626791,2.71868331515578e-12,6.77405259359648e-10,"Fbxw17"
"ENSMUSG00000042595",431.468885282251,-1.52344892123701,0.280364186667305,3.40089208136778e-12,8.20053816394328e-10,"Fam199x"
"ENSMUSG00000037490",1188.78713510352,-1.3536128607631,0.263322001511908,8.95926433372125e-12,1.94117393897294e-09,"Slc2a12"
"ENSMUSG00000032500",405.044914376654,-1.26664316787266,0.255307326528168,3.24111024301403e-11,6.2121279657769e-09,"Dclk3"
"ENSMUSG00000061578",71.37571929869,-3.56890749949662,0.698920056906265,4.55915358273478e-09,5.54141024893373e-07,"Ksr2"
"ENSMUSG00000036523",406.089261342059,-3.04747195685277,0.609075628830063,1.0326849285128e-08,1.18758766778972e-06,"Greb1"
"ENSMUSG00000024011",747.227072157001,-1.35351303456649,0.350683807217864,1.04299626092121e-08,1.19028962601313e-06,"Pi16"
"ENSMUSG00000023008",914.287856097262,-1.09485173123956,0.262810416610788,1.09472723008653e-08,1.23986152195407e-06,"Fmnl3"
"ENSMUSG00000029298",311.708128297224,-1.29435960824112,0.338941787934075,1.3907717254631e-08,1.55164457430398e-06,"Gbp9"
"ENSMUSG00000034926",523.30207026056,-1.12786778524037,0.293514844860449,3.34462006557433e-08,3.49664825037316e-06,"Dhcr24"
"ENSMUSG00000032172",44.530378408411,-7.68290761078251,1.79872794292688,1.37855536995345e-07,1.22390618162358e-05,"Olfm2"
"ENSMUSG00000000889",371.700024497311,-2.01444750319402,0.568067911273488,2.77289552705677e-07,2.24079935835128e-05,"Dbh"
"ENSMUSG00000009216",189.081735867582,-2.94548462110217,0.778639595340417,4.181131040173e-07,3.222057167556e-05,"Fam163b"
"ENSMUSG00000079884",34.1781825521663,-7.31382989867171,10.0478656781512,1.00495350477688e-06,7.02058640019359e-05,"Gm10698"
"ENSMUSG00000066364",68.0569034631288,-6.38241081875038,2.01398911033203,1.06607826283064e-06,7.34464056650602e-05,"Serpina3b"
"ENSMUSG00000034607",114.918704168838,-1.82275356993435,0.669597840105334,2.13548074796865e-06,0.000134140492361896,"Pof1b"
"ENSMUSG00000079013",63.3591176809543,-5.78974456563596,2.26950818152309,2.71230273239281e-06,0.000165505819792949,"Serpina3j"
"ENSMUSG00000028893",1440.55955050394,-3.61258136309374,1.32765824856038,2.84732862990139e-06,0.000171643399262201,"Sesn2"
"ENSMUSG00000021214",62.3234055998624,-3.88609084906763,1.49444356147177,3.30551803198045e-06,0.000196101168960745,"Akr1c18"
"ENSMUSG00000061397",116.429906967693,-1.58083282279746,0.634417027189916,3.32697323446368e-06,0.000196593872945581,"Krt79"
"ENSMUSG00000030579",13.1268204908125,-5.41495058980163,3.09807510253146,7.75219848321882e-06,0.000392865651946174,"Tyrobp"
"ENSMUSG00000049685",133.863568155876,-4.84110365643582,2.56317816341383,7.98428030833085e-06,0.000400553659763578,"Cyp2g1"
"ENSMUSG00000089960",31.4525642493739,-4.98887506024827,2.8466926513989,9.05161018491976e-06,0.000446605849057922,"Ugt1a1"
"ENSMUSG00000022376",27.2058490436853,-4.84190408309277,2.79990314017789,9.76440171144614e-06,0.000477051652242221,"Adcy8"
"ENSMUSG00000073791",79.2734023494205,-1.44828926171312,0.702847357463319,1.16934453363877e-05,0.000551473210659295,"Efcab7"
"ENSMUSG00000042873",105.753737189367,-1.30379985758703,0.697101101778446,2.16715824222453e-05,0.000917819142245233,"Lhfpl4"
"ENSMUSG00000021750",65.7815343282553,-1.87820978414464,1.11298403345517,2.6503039764484e-05,0.00109756355811367,"Fam107a"
"ENSMUSG00000022129",81.6806553905839,-2.45094180202535,1.63138953406829,2.87516405762444e-05,0.00116172169355366,"Dct"
"ENSMUSG00000093909",29.5956250813837,-3.31123404731476,3.30540923800222,3.9873911232938e-05,0.00150915183020867,"Gm3883"
"ENSMUSG00000071019",29.9773825707744,-2.4674921154447,2.84083477284242,7.41542476777037e-05,0.00250227921228115,"Sdr16c6"
"ENSMUSG00000071281",79.5265715124561,-1.03153291309485,0.785275177430131,0.000122458207775857,0.00376697573302277,"Zfp65"
"ENSMUSG00000005237",17.9111586240417,-1.47023526533565,1.74681349967599,0.00015919694903326,0.00462959577511045,"Dnah2"
"ENSMUSG00000015709",184.270249520787,-1.16217894716929,2.63710332323415,0.000220804665910896,0.00605693533095025,"Arnt2"
