term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006613,"cotranslational protein targeting to membrane",0.085%,-1.916, 4.523,1.279,-2.1573,0.751,0.000,6613,0
GO:0034341,"response to interferon-gamma",0.475%,-6.489, 0.265,2.004,-2.4220,0.844,0.000,34341,0
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.171%,-2.278,-6.231,1.568,-2.0019,0.823,0.011,184,0
GO:1904019,"epithelial cell apoptotic process",0.427%, 4.052, 6.638,1.959,-1.9177,0.884,0.063,1904019,0
GO:2001014,"regulation of skeletal muscle cell differentiation",0.085%, 6.256,-0.168,1.279,-1.9177,0.695,0.063,2001014,0
GO:0090311,"regulation of protein deacetylation",0.195%, 4.494,-6.478,1.623,-1.9686,0.769,0.097,90311,0
GO:0006476,"protein deacetylation",0.418%,null,null,1.949,-1.3732,0.772,0.970,90311,1
GO:0016575,"histone deacetylation",0.351%,null,null,1.875,-1.3232,0.721,0.917,90311,1
GO:0042254,"ribosome biogenesis",1.244%,-0.442, 0.341,2.420,-1.4309,0.850,0.160,42254,0
GO:0006312,"mitotic recombination",0.128%,-0.705,-6.738,1.447,-1.6192,0.857,0.178,6312,0
GO:0019083,"viral transcription",0.195%,-0.110,-5.749,1.623,-1.9945,0.775,0.203,19083,0
GO:0019080,"viral gene expression",0.242%,null,null,1.716,-2.0169,0.808,0.927,19083,1
GO:0016072,"rRNA metabolic process",0.893%,-2.169,-5.014,2.276,-1.5281,0.790,0.234,16072,0
GO:0043043,"peptide biosynthetic process",3.030%,-3.481,-5.181,2.806,-1.6401,0.819,0.250,43043,0
GO:0006412,"translation",2.935%,null,null,2.792,-1.4103,0.782,0.932,43043,1
GO:0042989,"sequestering of actin monomers",0.043%,-0.935, 3.411,1.000,-1.8722,0.732,0.330,42989,0
GO:2000209,"regulation of anoikis",0.095%, 4.369, 6.670,1.322,-1.5740,0.886,0.372,2000209,0
GO:0002385,"mucosal immune response",0.123%,-5.716, 0.152,1.431,-1.4959,0.855,0.417,2385,0
GO:0002227,"innate immune response in mucosa",0.066%,null,null,1.176,-1.5960,0.832,0.949,2385,1
GO:0032365,"intracellular lipid transport",0.085%,-2.420, 5.662,1.279,-1.6975,0.791,0.460,32365,0
GO:0045047,"protein targeting to ER",0.114%,-2.998, 5.216,1.398,-2.1220,0.813,0.505,45047,0
GO:0006614,"SRP-dependent cotranslational protein targeting to membrane",0.071%,null,null,1.204,-2.1943,0.736,0.943,45047,1
GO:0042742,"defense response to bacterium",1.899%,-6.943,-0.548,2.603,-2.3891,0.855,0.539,42742,0
GO:0006853,"carnitine shuttle",0.031%,-1.689, 5.948,0.845,-1.8311,0.765,0.557,6853,0
GO:0051147,"regulation of muscle cell differentiation",0.822%, 6.409, 0.179,2.241,-1.3232,0.661,0.579,51147,0
GO:0071346,"cellular response to interferon-gamma",0.366%,-6.437,-0.070,1.892,-1.9727,0.830,0.599,71346,0
GO:1990542,"mitochondrial transmembrane transport",0.228%,-0.522, 6.671,1.690,-1.3732,0.862,0.615,1990542,0
GO:0019731,"antibacterial humoral response",0.161%,-6.440,-0.608,1.544,-1.3352,0.854,0.662,19731,0
GO:1902001,"fatty acid transmembrane transport",0.024%,-1.564, 6.211,0.778,-1.8311,0.797,0.688,1902001,0
GO:0048741,"skeletal muscle fiber development",0.171%, 6.221, 0.358,1.568,-1.7936,0.644,0.705,48741,0
GO:0045661,"regulation of myoblast differentiation",0.266%, 6.277,-0.404,1.756,-1.4152,0.683,0.725,45661,0
GO:0035914,"skeletal muscle cell differentiation",0.361%, 6.576,-0.202,1.886,-1.7936,0.674,0.789,35914,0
GO:0015909,"long-chain fatty acid transport",0.228%,-2.105, 5.935,1.690,-1.4785,0.787,0.797,15909,0
GO:0016032,"viral process",1.263%, 2.444,-6.299,2.427,-1.4522,0.864,0.810,16032,0
GO:0048641,"regulation of skeletal muscle tissue development",0.242%, 6.690, 0.162,1.716,-1.7936,0.691,0.813,48641,0
GO:0090312,"positive regulation of protein deacetylation",0.114%, 4.793,-6.359,1.398,-1.8311,0.775,0.838,90312,0
GO:0030837,"negative regulation of actin filament polymerization",0.247%, 0.122, 1.166,1.724,-1.5332,0.789,0.842,30837,0
GO:0055002,"striated muscle cell development",0.708%, 6.399, 0.600,2.176,-1.5740,0.642,0.849,55002,0
GO:0034470,"ncRNA processing",1.472%,-1.861,-5.061,2.493,-1.4274,0.777,0.851,34470,0
GO:0014904,"myotube cell development",0.190%, 6.383, 0.855,1.613,-1.7272,0.665,0.857,14904,0
GO:0006364,"rRNA processing",0.864%,-1.135,-3.061,2.262,-1.5201,0.698,0.857,6364,0
GO:0045214,"sarcomere organization",0.214%, 4.542, 0.561,1.663,-1.3868,0.593,0.866,45214,0
GO:0000956,"nuclear-transcribed mRNA catabolic process",0.499%,-1.964,-6.093,2.025,-1.6401,0.814,0.873,956,0
GO:0048747,"muscle fiber development",0.294%, 6.170, 0.687,1.799,-1.4456,0.659,0.892,48747,0
