term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0008284,"positive regulation of cell proliferation",4.055%,-3.840, 6.796,2.932,-4.3458,0.804,0.000,8284,0
GO:0042127,"regulation of cell proliferation",7.227%,null,null,3.183,-2.4034,0.868,0.759,8284,1
GO:0018205,"peptidyl-lysine modification",1.534%, 5.000,-4.230,2.511,-3.9953,0.902,0.019,18205,0
GO:0032446,"protein modification by small protein conjugation",3.732%,null,null,2.896,-1.4806,0.892,0.638,18205,1
GO:0018108,"peptidyl-tyrosine phosphorylation",1.619%,null,null,2.534,-1.4270,0.898,0.670,18205,1
GO:0016925,"protein sumoylation",0.214%,null,null,1.663,-4.3925,0.912,0.539,18205,1
GO:0071345,"cellular response to cytokine stimulus",2.802%, 5.299, 1.359,2.772,-2.4311,0.902,0.021,71345,0
GO:1901701,"cellular response to oxygen-containing compound",4.312%,null,null,2.959,-1.3631,0.906,0.572,71345,1
GO:0019221,"cytokine-mediated signaling pathway",1.861%,null,null,2.594,-1.4570,0.827,0.869,71345,1
GO:0070555,"response to interleukin-1",0.532%,null,null,2.053,-1.4695,0.939,0.746,71345,1
GO:0015671,"oxygen transport",0.066%, 2.596, 5.822,1.176,-2.7565,0.916,0.027,15671,0
GO:0060192,"negative regulation of lipase activity",0.071%, 1.892,-1.860,1.204,-2.6342,0.927,0.045,60192,0
GO:0043086,"negative regulation of catalytic activity",3.723%,null,null,2.895,-1.6171,0.902,0.541,60192,1
GO:0001990,"regulation of systemic arterial blood pressure by hormone",0.204%,-2.803,-0.411,1.643,-3.3921,0.899,0.050,1990,0
GO:0051983,"regulation of chromosome segregation",0.408%,-0.242,-0.330,1.940,-2.6161,0.864,0.072,51983,0
GO:0051988,"regulation of attachment of spindle microtubules to kinetochore",0.057%,null,null,1.114,-2.4335,0.838,0.647,51983,1
GO:0006027,"glycosaminoglycan catabolic process",0.081%, 3.604,-2.566,1.255,-3.7658,0.914,0.090,6027,0
GO:0030203,"glycosaminoglycan metabolic process",0.475%,null,null,2.004,-1.7167,0.920,0.840,6027,1
GO:0010498,"proteasomal protein catabolic process",1.757%,null,null,2.569,-1.6252,0.887,0.521,6027,1
GO:0006026,"aminoglycan catabolic process",0.095%,null,null,1.322,-1.4492,0.914,0.851,6027,1
GO:0006511,"ubiquitin-dependent protein catabolic process",2.417%,null,null,2.708,-1.3905,0.883,0.888,6027,1
GO:0031145,"anaphase-promoting complex-dependent catabolic process",0.047%,null,null,1.041,-1.4270,0.915,0.590,6027,1
GO:0043066,"negative regulation of apoptotic process",4.032%,-3.497,-6.271,2.929,-3.1973,0.787,0.098,43066,0
GO:2001235,"positive regulation of apoptotic signaling pathway",0.836%,null,null,2.248,-1.4695,0.753,0.843,43066,1
GO:0043154,"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.423%,null,null,1.954,-1.5932,0.753,0.707,43066,1
GO:0043069,"negative regulation of programmed cell death",4.089%,null,null,2.936,-3.3422,0.787,0.930,43066,1
