term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0006936,"muscle contraction",1.273%,-6.330,-4.087,2.430,-2.8469,0.937,0.000,6936,0
GO:0008544,"epidermis development",1.448%,-6.910, 2.717,2.486,-3.8951,0.876,0.000,8544,0
GO:0060415,"muscle tissue morphogenesis",0.389%,null,null,1.919,-2.2433,0.808,0.459,8544,1
GO:0060428,"lung epithelium development",0.237%,null,null,1.708,-3.0104,0.840,0.437,8544,1
GO:0060973,"cell migration involved in heart development",0.066%,null,null,1.176,-1.3278,0.787,0.591,8544,1
GO:0060429,"epithelium development",5.375%,null,null,3.054,-4.1675,0.860,0.696,8544,1
GO:0003007,"heart morphogenesis",1.201%,null,null,2.405,-1.4404,0.814,0.780,8544,1
GO:0001837,"epithelial to mesenchymal transition",0.589%,null,null,2.097,-1.6833,0.792,0.896,8544,1
GO:0030239,"myofibril assembly",0.290%,null,null,1.792,-1.4897,0.770,0.888,8544,1
GO:0030241,"skeletal muscle myosin thick filament assembly",0.014%,null,null,0.602,-1.3845,0.808,0.777,8544,1
GO:0000904,"cell morphogenesis involved in differentiation",3.163%,null,null,2.824,-1.3796,0.773,0.597,8544,1
GO:0030855,"epithelial cell differentiation",2.930%,null,null,2.791,-1.6969,0.789,0.578,8544,1
GO:0048762,"mesenchymal cell differentiation",0.883%,null,null,2.272,-1.5997,0.785,0.501,8544,1
GO:0055008,"cardiac muscle tissue morphogenesis",0.332%,null,null,1.851,-1.7057,0.801,0.965,8544,1
GO:0003198,"epithelial to mesenchymal transition involved in endocardial cushion formation",0.095%,null,null,1.322,-1.4502,0.792,0.756,8544,1
GO:0007520,"myoblast fusion",0.195%,null,null,1.623,-1.3845,0.833,0.697,8544,1
GO:0045214,"sarcomere organization",0.214%,null,null,1.663,-1.8292,0.774,0.587,8544,1
GO:0048738,"cardiac muscle tissue development",1.011%,null,null,2.330,-1.7057,0.811,0.508,8544,1
GO:0030199,"collagen fibril organization",0.190%,-2.535, 7.195,1.613,-4.5834,0.861,0.000,30199,0
GO:0071822,"protein complex subunit organization",5.803%,null,null,3.087,-3.8186,0.907,0.450,30199,1
GO:0030198,"extracellular matrix organization",1.030%,null,null,2.338,-1.9066,0.866,0.834,30199,1
GO:1990000,"amyloid fibril formation",0.033%,null,null,0.903,-1.3278,0.835,0.491,30199,1
GO:0051418,"microtubule nucleation by microtubule organizing center",0.028%,null,null,0.845,-1.3278,0.862,0.486,30199,1
GO:0048251,"elastic fiber assembly",0.033%,null,null,0.903,-1.3845,0.880,0.634,30199,1
GO:0090136,"epithelial cell-cell adhesion",0.071%,-2.150, 0.081,1.204,-2.7223,0.943,0.021,90136,0
GO:0034109,"homotypic cell-cell adhesion",0.351%,null,null,1.875,-1.6615,0.937,0.617,90136,1
GO:0033629,"negative regulation of cell adhesion mediated by integrin",0.028%,null,null,0.845,-1.3845,0.908,0.680,90136,1
GO:0022408,"negative regulation of cell-cell adhesion",0.693%,null,null,2.167,-1.8292,0.872,0.537,90136,1
