% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0006936,"muscle contraction",1.273%,0.937,0.000,"muscle contraction"
GO:0044058,"regulation of digestive system process",0.185%,0.853,0.332,"muscle contraction"
GO:0030278,"regulation of ossification",0.950%,0.838,0.335,"muscle contraction"
GO:0008544,"epidermis development",1.448%,0.876,0.000,"epidermis development"
GO:0060019,"radial glial cell differentiation",0.057%,0.849,0.172,"epidermis development"
GO:0060428,"lung epithelium development",0.237%,0.840,0.437,"epidermis development"
GO:0003007,"heart morphogenesis",1.201%,0.814,0.357,"epidermis development"
GO:0032330,"regulation of chondrocyte differentiation",0.223%,0.763,0.434,"epidermis development"
GO:0001501,"skeletal system development",2.317%,0.846,0.256,"epidermis development"
GO:0043009,"chordate embryonic development",3.386%,0.839,0.309,"epidermis development"
GO:0000904,"cell morphogenesis involved in differentiation",3.163%,0.773,0.484,"epidermis development"
GO:1904948,"midbrain dopaminergic neuron differentiation",0.066%,0.837,0.331,"epidermis development"
GO:1904861,"excitatory synapse assembly",0.038%,0.829,0.266,"epidermis development"
GO:0035272,"exocrine system development",0.280%,0.871,0.200,"epidermis development"
GO:0045598,"regulation of fat cell differentiation",0.579%,0.808,0.241,"epidermis development"
GO:0007520,"myoblast fusion",0.195%,0.833,0.200,"epidermis development"
GO:0018195,"peptidyl-arginine modification",0.119%,0.921,0.000,"peptidyl-arginine modification"
GO:0044030,"regulation of DNA methylation",0.100%,0.872,0.207,"peptidyl-arginine modification"
GO:0050730,"regulation of peptidyl-tyrosine phosphorylation",1.064%,0.810,0.493,"peptidyl-arginine modification"
GO:0036211,"protein modification process",16.800%,0.907,0.332,"peptidyl-arginine modification"
GO:0010862,"positive regulation of pathway-restricted SMAD protein phosphorylation",0.228%,0.726,0.498,"peptidyl-arginine modification"
GO:0034394,"protein localization to cell surface",0.252%,0.909,0.000,"protein localization to cell surface"
GO:0051204,"protein insertion into mitochondrial membrane",0.033%,0.816,0.350,"protein localization to cell surface"
GO:0030334,"regulation of cell migration",3.205%,0.762,0.372,"protein localization to cell surface"
GO:2000643,"positive regulation of early endosome to late endosome transport",0.038%,0.791,0.287,"protein localization to cell surface"
