% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0042534,"regulation of tumor necrosis factor biosynthetic process",0.095%,-3.3202,0.706,0.000,"regulation of tumor necrosis factor biosynthesis"
GO:0018149,"peptide cross-linking",0.299%,-2.0569,0.919,0.161,"regulation of tumor necrosis factor biosynthesis"
GO:1903209,"positive regulation of oxidative stress-induced cell death",0.071%,-1.7479,0.764,0.490,"regulation of tumor necrosis factor biosynthesis"
GO:0036066,"protein O-linked fucosylation",0.014%,-1.3557,0.870,0.202,"regulation of tumor necrosis factor biosynthesis"
GO:0034382,"chylomicron remnant clearance",0.028%,-1.6816,0.872,0.121,"regulation of tumor necrosis factor biosynthesis"
GO:0030799,"regulation of cyclic nucleotide metabolic process",0.651%,-1.6816,0.803,0.462,"regulation of tumor necrosis factor biosynthesis"
GO:0034724,"DNA replication-independent nucleosome organization",0.085%,-1.4166,0.914,0.485,"regulation of tumor necrosis factor biosynthesis"
GO:1902043,"positive regulation of extrinsic apoptotic signaling pathway via death domain receptors",0.085%,-1.7479,0.774,0.313,"regulation of tumor necrosis factor biosynthesis"
GO:0046173,"polyol biosynthetic process",0.195%,-1.6243,0.873,0.202,"regulation of tumor necrosis factor biosynthesis"
GO:0071636,"positive regulation of transforming growth factor beta production",0.066%,-1.6243,0.739,0.497,"regulation of tumor necrosis factor biosynthesis"
GO:0030194,"positive regulation of blood coagulation",0.109%,-2.8343,0.678,0.266,"regulation of tumor necrosis factor biosynthesis"
GO:1903726,"negative regulation of phospholipid metabolic process",0.043%,-1.7479,0.752,0.134,"regulation of tumor necrosis factor biosynthesis"
GO:0070266,"necroptotic process",0.133%,-1.3851,0.896,0.335,"regulation of tumor necrosis factor biosynthesis"
GO:0032667,"regulation of interleukin-23 production",0.038%,-1.6816,0.787,0.478,"regulation of tumor necrosis factor biosynthesis"
GO:0007252,"I-kappaB phosphorylation",0.071%,-1.5286,0.851,0.229,"regulation of tumor necrosis factor biosynthesis"
GO:0032700,"negative regulation of interleukin-17 production",0.071%,-1.5738,0.722,0.499,"regulation of tumor necrosis factor biosynthesis"
GO:0045686,"negative regulation of glial cell differentiation",0.119%,-1.6243,0.735,0.271,"regulation of tumor necrosis factor biosynthesis"
GO:0000187,"activation of MAPK activity",0.508%,-1.3169,0.686,0.463,"regulation of tumor necrosis factor biosynthesis"
GO:0000183,"chromatin silencing at rDNA",0.161%,-1.4879,0.746,0.274,"regulation of tumor necrosis factor biosynthesis"
GO:0010755,"regulation of plasminogen activation",0.052%,-1.5286,0.865,0.260,"regulation of tumor necrosis factor biosynthesis"
GO:1903587,"regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis",0.019%,-1.4879,0.832,0.301,"regulation of tumor necrosis factor biosynthesis"
GO:0051172,"negative regulation of nitrogen compound metabolic process",7.246%,-1.6816,0.752,0.414,"regulation of tumor necrosis factor biosynthesis"
GO:0072423,"response to DNA damage checkpoint signaling",0.028%,-1.7479,0.923,0.009,"response to DNA damage checkpoint signaling"
GO:0050829,"defense response to Gram-negative bacterium",0.242%,-1.7153,0.884,0.412,"response to DNA damage checkpoint signaling"
GO:0032490,"detection of molecule of bacterial origin",0.052%,-1.6816,0.903,0.487,"response to DNA damage checkpoint signaling"
GO:0060192,"negative regulation of lipase activity",0.071%,-1.6243,0.933,0.033,"negative regulation of lipase activity"
GO:0002696,"positive regulation of leukocyte activation",1.880%,-2.9856,0.714,0.057,"positive regulation of leukocyte activation"
GO:0031325,"positive regulation of cellular metabolic process",13.187%,-1.5062,0.748,0.444,"positive regulation of leukocyte activation"
GO:0042088,"T-helper 1 type immune response",0.180%,-1.6816,0.881,0.379,"positive regulation of leukocyte activation"
GO:0060267,"positive regulation of respiratory burst",0.028%,-1.6243,0.835,0.245,"positive regulation of leukocyte activation"
GO:0051770,"positive regulation of nitric-oxide synthase biosynthetic process",0.062%,-1.5738,0.819,0.260,"positive regulation of leukocyte activation"
GO:2000379,"positive regulation of reactive oxygen species metabolic process",0.389%,-2.2142,0.803,0.242,"positive regulation of leukocyte activation"
GO:0002604,"regulation of dendritic cell antigen processing and presentation",0.038%,-1.6243,0.854,0.453,"positive regulation of leukocyte activation"
GO:0032026,"response to magnesium ion",0.076%,-1.6243,0.945,0.064,"response to magnesium ion"
GO:0048259,"regulation of receptor-mediated endocytosis",0.361%,-2.2822,0.765,0.065,"regulation of receptor-mediated endocytosis"
GO:1900225,"regulation of NLRP3 inflammasome complex assembly",0.047%,-1.5286,0.844,0.300,"regulation of receptor-mediated endocytosis"
GO:0099637,"neurotransmitter receptor transport",0.062%,-1.5286,0.898,0.367,"regulation of receptor-mediated endocytosis"
GO:0048268,"clathrin coat assembly",0.057%,-1.3851,0.906,0.478,"regulation of receptor-mediated endocytosis"
GO:0006612,"protein targeting to membrane",0.513%,-1.8399,0.779,0.229,"regulation of receptor-mediated endocytosis"
GO:1903960,"negative regulation of anion transmembrane transport",0.047%,-1.6243,0.782,0.346,"regulation of receptor-mediated endocytosis"
GO:0001325,"formation of extrachromosomal circular DNA",0.377%,-1.4879,0.852,0.294,"regulation of receptor-mediated endocytosis"
GO:0032060,"bleb assembly",0.052%,-1.6816,0.882,0.144,"regulation of receptor-mediated endocytosis"
GO:0043652,"engulfment of apoptotic cell",0.033%,-1.5738,0.842,0.489,"regulation of receptor-mediated endocytosis"
GO:0032371,"regulation of sterol transport",0.195%,-1.6816,0.798,0.387,"regulation of receptor-mediated endocytosis"
GO:0001766,"membrane raft polarization",0.038%,-1.6816,0.819,0.485,"regulation of receptor-mediated endocytosis"
