cluster	gene
1	ENSMUSG00000000247
1	ENSMUSG00000000308
1	ENSMUSG00000000861
1	ENSMUSG00000001025
1	ENSMUSG00000001228
1	ENSMUSG00000001504
1	ENSMUSG00000001506
1	ENSMUSG00000001510
1	ENSMUSG00000001655
1	ENSMUSG00000002769
1	ENSMUSG00000003178
1	ENSMUSG00000003644
1	ENSMUSG00000004864
1	ENSMUSG00000005220
1	ENSMUSG00000005251
1	ENSMUSG00000005628
1	ENSMUSG00000006058
1	ENSMUSG00000006345
1	ENSMUSG00000006411
1	ENSMUSG00000010064
1	ENSMUSG00000010080
1	ENSMUSG00000015354
1	ENSMUSG00000015377
1	ENSMUSG00000015619
1	ENSMUSG00000017588
1	ENSMUSG00000017724
1	ENSMUSG00000018819
1	ENSMUSG00000018893
1	ENSMUSG00000019808
1	ENSMUSG00000019880
1	ENSMUSG00000020218
1	ENSMUSG00000020491
1	ENSMUSG00000020583
1	ENSMUSG00000020649
1	ENSMUSG00000020656
1	ENSMUSG00000020722
1	ENSMUSG00000020889
1	ENSMUSG00000020953
1	ENSMUSG00000021118
1	ENSMUSG00000021273
1	ENSMUSG00000021367
1	ENSMUSG00000021643
1	ENSMUSG00000022123
1	ENSMUSG00000022286
1	ENSMUSG00000022371
1	ENSMUSG00000022425
1	ENSMUSG00000022438
1	ENSMUSG00000022479
1	ENSMUSG00000022483
1	ENSMUSG00000022523
1	ENSMUSG00000022676
1	ENSMUSG00000023169
1	ENSMUSG00000023868
1	ENSMUSG00000024048
1	ENSMUSG00000024084
1	ENSMUSG00000024538
1	ENSMUSG00000024660
1	ENSMUSG00000024678
1	ENSMUSG00000024873
1	ENSMUSG00000024922
1	ENSMUSG00000025064
1	ENSMUSG00000025105
1	ENSMUSG00000025140
1	ENSMUSG00000025202
1	ENSMUSG00000025213
1	ENSMUSG00000025330
1	ENSMUSG00000025488
1	ENSMUSG00000025577
1	ENSMUSG00000025930
1	ENSMUSG00000025991
1	ENSMUSG00000026018
1	ENSMUSG00000026579
1	ENSMUSG00000026971
1	ENSMUSG00000027208
1	ENSMUSG00000027533
1	ENSMUSG00000027596
1	ENSMUSG00000027636
1	ENSMUSG00000027869
1	ENSMUSG00000027996
1	ENSMUSG00000028031
1	ENSMUSG00000028236
1	ENSMUSG00000028348
1	ENSMUSG00000028497
1	ENSMUSG00000028786
1	ENSMUSG00000028825
1	ENSMUSG00000028860
1	ENSMUSG00000028976
1	ENSMUSG00000029026
1	ENSMUSG00000029417
1	ENSMUSG00000029570
1	ENSMUSG00000030166
1	ENSMUSG00000030672
1	ENSMUSG00000030785
1	ENSMUSG00000031312
1	ENSMUSG00000031519
1	ENSMUSG00000031613
1	ENSMUSG00000031891
1	ENSMUSG00000032013
1	ENSMUSG00000032262
1	ENSMUSG00000032503
1	ENSMUSG00000032518
1	ENSMUSG00000032852
1	ENSMUSG00000033187
1	ENSMUSG00000034226
1	ENSMUSG00000034435
1	ENSMUSG00000034634
1	ENSMUSG00000035373
1	ENSMUSG00000035385
1	ENSMUSG00000035799
1	ENSMUSG00000035831
1	ENSMUSG00000036306
1	ENSMUSG00000036655
1	ENSMUSG00000037188
1	ENSMUSG00000037601
1	ENSMUSG00000037610
1	ENSMUSG00000038550
1	ENSMUSG00000039055
1	ENSMUSG00000039298
1	ENSMUSG00000039452
1	ENSMUSG00000040055
1	ENSMUSG00000040212
1	ENSMUSG00000040429
1	ENSMUSG00000040703
1	ENSMUSG00000041476
1	ENSMUSG00000041782
1	ENSMUSG00000041911
1	ENSMUSG00000042306
1	ENSMUSG00000042436
1	ENSMUSG00000042988
1	ENSMUSG00000043008
1	ENSMUSG00000044641
1	ENSMUSG00000045128
1	ENSMUSG00000045349
1	ENSMUSG00000045763
1	ENSMUSG00000045777
1	ENSMUSG00000046352
1	ENSMUSG00000047281
1	ENSMUSG00000047757
1	ENSMUSG00000047821
1	ENSMUSG00000047832
1	ENSMUSG00000047875
1	ENSMUSG00000048251
1	ENSMUSG00000049404
1	ENSMUSG00000050558
1	ENSMUSG00000050777
1	ENSMUSG00000051397
1	ENSMUSG00000051839
1	ENSMUSG00000051879
1	ENSMUSG00000052909
1	ENSMUSG00000054196
1	ENSMUSG00000054675
1	ENSMUSG00000056222
1	ENSMUSG00000056851
1	ENSMUSG00000057454
1	ENSMUSG00000057948
1	ENSMUSG00000058260
1	ENSMUSG00000058427
1	ENSMUSG00000059060
1	ENSMUSG00000059326
1	ENSMUSG00000059824
1	ENSMUSG00000059898
1	ENSMUSG00000060572
1	ENSMUSG00000060935
1	ENSMUSG00000060962
1	ENSMUSG00000061527
1	ENSMUSG00000061816
1	ENSMUSG00000063661
1	ENSMUSG00000066704
1	ENSMUSG00000067006
1	ENSMUSG00000067219
1	ENSMUSG00000067288
1	ENSMUSG00000069441
1	ENSMUSG00000070436
1	ENSMUSG00000070691
1	ENSMUSG00000071341
1	ENSMUSG00000073403
1	ENSMUSG00000075296
1	ENSMUSG00000075307
1	ENSMUSG00000079588
1	ENSMUSG00000084897
1	ENSMUSG00000090733
1	ENSMUSG00000091144
1	ENSMUSG00000092586
1	ENSMUSG00000094005
1	ENSMUSG00000095680
1	ENSMUSG00000096363
2	ENSMUSG00000001150
2	ENSMUSG00000002020
2	ENSMUSG00000002289
2	ENSMUSG00000002343
2	ENSMUSG00000004698
2	ENSMUSG00000004892
2	ENSMUSG00000005043
2	ENSMUSG00000005611
2	ENSMUSG00000005871
2	ENSMUSG00000011305
2	ENSMUSG00000012519
2	ENSMUSG00000015944
