V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
GO:0016925,GO:0030199,GO:0050918,GO:0046323,GO:0042535,GO:0042340,GO:0006614,GO:0010466,GO:0048666,GO:0034341,GO:0038128
GO:0008284,GO:0060429,GO:0050667,GO:0008645,GO:0042534,GO:0045597,GO:0060231,GO:0052548,GO:0051216,GO:0042742,GO:1901185
GO:0010634,GO:2000369,GO:0030198,GO:0035428,GO:0002696,GO:0018146,GO:0006613,GO:2000059,GO:0010466,GO:0006614,GO:0016266
GO:0018205,GO:0008544,GO:0000070,GO:0007010,GO:0043032,GO:0042339,GO:0045047,GO:0051444,GO:0050680,GO:0006613,GO:0038127
GO:0006027,GO:0071822,GO:0051383,GO:0015758,GO:0045671,GO:0044273,GO:0051383,GO:0010951,GO:0052548,GO:0045047,GO:0042167
GO:0042981,GO:0010837,GO:0051303,GO:0042796,GO:0030194,GO:0007420,GO:2000738,GO:0006614,GO:0050678,GO:0019080,GO:0006787
GO:0044273,GO:0045596,GO:0010770,GO:0006383,GO:0043030,GO:0045600,GO:0045109,GO:0006613,GO:0048935,GO:0000184,GO:0052696
GO:0061213,GO:0043516,GO:0030334,GO:2000501,GO:0002762,GO:0001764,GO:0019080,GO:0045047,GO:0030097,GO:0019083,GO:0007399
GO:0048522,GO:0072386,GO:0033630,GO:0036294,GO:0032655,GO:0071363,GO:0000184,GO:1903051,GO:0098976,GO:0071346,GO:1903706
GO:0001990,GO:0060556,GO:0003009,GO:0043410,GO:0048259,GO:0051056,GO:0019083,GO:0019080,GO:0006610,GO:0090311,GO:0052697
GO:0043069,GO:0010839,GO:0040001,GO:0043388,GO:0045670,GO:0006027,GO:0061436,GO:0000184,GO:0007417,GO:1904019,GO:0043632
GO:0043066,GO:0003091,GO:0140014,GO:0048332,GO:2000379,GO:0006977,GO:0033561,GO:0019083,GO:0010951,GO:2001014,GO:0035635
GO:0051146,GO:0045599,GO:0007080,GO:0090399,GO:0042108,GO:0072431,GO:0050982,GO:2000058,GO:0048227,GO:0042989,GO:0016055
GO:2000739,GO:0060428,GO:0051310,GO:0046602,GO:0032760,GO:0021795,GO:0045606,GO:0010604,GO:0046598,GO:0006853,GO:0010939
GO:0072175,GO:0006936,GO:0000096,GO:0071456,GO:0018149,GO:0050872,GO:0046683,GO:0016032,GO:0009249,GO:0090312,GO:0006493
GO:0010564,GO:0048878,GO:0034394,GO:0050804,GO:0006612,GO:1903209,GO:0001656,GO:1904666,GO:0060192,GO:1902001,GO:0019585
GO:0015671,GO:0043029,GO:0007088,GO:0043547,GO:1903726,GO:1903504,GO:0000070,GO:0002934,GO:0006614,GO:0035914,GO:0008210
GO:0030540,GO:1904953,GO:0010838,GO:0090630,GO:1903209,GO:1901879,GO:0008213,GO:0043043,GO:0090257,GO:0048741,GO:0042573
GO:0042421,GO:0036211,GO:0035999,GO:0007088,GO:1903504,GO:0010310,GO:0000819,GO:0000956,GO:0046323,GO:0048641,GO:0019218
GO:0030855,GO:0050730,GO:0002315,GO:0005513,GO:0070601,GO:0035973,GO:0043043,GO:0031397,GO:0090527,GO:0014904,GO:0060544
GO:0060192,GO:0001501,GO:1900026,GO:0060307,GO:0048715,GO:0086073,GO:0000956,GO:0002181,GO:0035235,GO:0032365,GO:0035567
GO:0042415,GO:0090136,GO:0048634,GO:0015749,GO:1902043,GO:0042159,GO:0061564,GO:0016072,GO:0048011,GO:0000956,GO:0052695
GO:0051983,GO:1904948,GO:0051382,GO:0098781,GO:0072423,GO:0045598,GO:0043588,GO:0050770,GO:0030311,GO:0043043,GO:0019068
GO:0045661,GO:0018195,GO:0000281,GO:0010470,GO:0010763,GO:0021515,GO:0048667,GO:0006364,GO:0006613,GO:0006312,GO:0005978
GO:0001501,GO:0006171,GO:0042127,GO:1901381,GO:0032372,GO:0034625,GO:0034508,GO:0033688,GO:0018065,GO:0002227,GO:0009250
GO:0000122,GO:0043517,GO:0051983,GO:0043268,GO:0050829,GO:0086042,GO:0043486,GO:0046887,GO:0030878,GO:0055002,GO:1904380
GO:0006357,GO:0048538,GO:0071526,GO:1904064,GO:0050729,GO:0061003,GO:0043434,GO:0042273,GO:0030309,GO:2000209,GO:0070987
GO:0007507,GO:0045956,GO:0002688,GO:0034645,GO:0030799,GO:0010759,GO:0035304,GO:0042254,GO:0006590,GO:0030837,GO:0000028
GO:0072182,GO:2001022,GO:0033628,GO:0099623,GO:0032667,GO:0090281,GO:0016072,GO:0034470,GO:0045047,GO:0016072,GO:0045833
GO:0072359,GO:0055088,GO:0016202,GO:2000679,GO:0001766,GO:0019367,GO:0006364,GO:0006412,GO:0045893,GO:0006364,GO:0042276
GO:0015669,GO:1903307,GO:0002313,GO:0001707,GO:0032371,GO:1900451,GO:1902850,GO:0050821,GO:0001823,GO:0002385,NA
GO:0051988,GO:0034199,GO:1902287,GO:0000281,GO:0032060,GO:0050873,GO:0006479,GO:1904667,GO:0032332,GO:0015909,NA
GO:2000727,GO:1901798,GO:1901605,GO:0051272,GO:0010759,GO:0019368,GO:0016032,GO:0008544,GO:0015693,GO:0016032,NA
