cluster	gene	symbol
1	ENSMUSG00000009356	Slc7a7
1	ENSMUSG00000015787	Irx2
1	ENSMUSG00000021207	Il7r
1	ENSMUSG00000021335	Mapk13
1	ENSMUSG00000021919	Lpo
1	ENSMUSG00000022056	Epn3
1	ENSMUSG00000022491	Slc47a1
1	ENSMUSG00000022657	Awat1
1	ENSMUSG00000022809	Abo
1	ENSMUSG00000023192	Ncapg
1	ENSMUSG00000023403	Krt27
1	ENSMUSG00000026390	Slfn3
1	ENSMUSG00000027400	Matn3
1	ENSMUSG00000027568	Nr1d1
1	ENSMUSG00000027912	Top2a
1	ENSMUSG00000029370	Akr1c21
1	ENSMUSG00000030523	Slc17a1
1	ENSMUSG00000030976	Chat
1	ENSMUSG00000034917	Tnfsf11
1	ENSMUSG00000036899	Adam7
1	ENSMUSG00000037033	Adcy8
1	ENSMUSG00000037451	Glycam1
1	ENSMUSG00000037944	Cd96
1	ENSMUSG00000038801	Nr1i2
1	ENSMUSG00000040969	Ahsg
1	ENSMUSG00000042240	Krt75
1	ENSMUSG00000042808	Grm2
1	ENSMUSG00000043461	Stk31
1	ENSMUSG00000045573	Pde10a
1	ENSMUSG00000045826	Cyp21a1
1	ENSMUSG00000046782	Cdca5
1	ENSMUSG00000047222	Bnc1
1	ENSMUSG00000048206	Cyp2e1
1	ENSMUSG00000053367	Tmem89
1	ENSMUSG00000053747	Ctla4
1	ENSMUSG00000054423	Sgol2
1	ENSMUSG00000059229	Marco
1	ENSMUSG00000064081	Pkp1
1	ENSMUSG00000064224	Il20
1	ENSMUSG00000064293	Rassf5
1	ENSMUSG00000066072	Il1f5
1	ENSMUSG00000067764	Cybrd1
1	ENSMUSG00000068008	Chrna1
1	ENSMUSG00000071665	Casc5
1	ENSMUSG00000071858	Acoxl
1	ENSMUSG00000073722	Pdyn
1	ENSMUSG00000076436	Car1
1	ENSMUSG00000076462	Ntsr1
1	ENSMUSG00000076532	Aadac
1	ENSMUSG00000076594	Hsd3b6
1	ENSMUSG00000076655	Lce1m
1	ENSMUSG00000078616	Sfrp2
1	ENSMUSG00000079076	Gstcd
1	ENSMUSG00000079112	Sdr16c5
1	ENSMUSG00000080907	Tmeff1
1	ENSMUSG00000081157	Pla2g2c
1	ENSMUSG00000081165	Slc2a5
1	ENSMUSG00000081522	Slc30a3
1	ENSMUSG00000081787	Rassf6
1	ENSMUSG00000082070	C8b
1	ENSMUSG00000082110	Gxylt2
1	ENSMUSG00000082371	Trpm1
1	ENSMUSG00000082655	Chrdl2
1	ENSMUSG00000082760	Tex36
1	ENSMUSG00000083494	Fgf16
1	ENSMUSG00000084316	Tceal6
1	ENSMUSG00000084375	Zfp90
1	ENSMUSG00000085590	Pvrl1
1	ENSMUSG00000086076	Trim29
1	ENSMUSG00000086842	Apoa4
1	ENSMUSG00000090107	Olfm2
1	ENSMUSG00000091233	Crabp1
1	ENSMUSG00000091655	Mobp
1	ENSMUSG00000091764	Snap91
1	ENSMUSG00000092517	Akr1c14
1	ENSMUSG00000095285	Calm4
1	ENSMUSG00000095872	Serpini2
1	ENSMUSG00000096003	Ly6d
1	ENSMUSG00000096437	Tjp3
1	ENSMUSG00000096506	Dhcr24
1	ENSMUSG00000096904	Krt17
1	ENSMUSG00000097132	Ins1
1	ENSMUSG00000097244	Lzts1
1	ENSMUSG00000098181	Trpv5
1	ENSMUSG00000100586	Clca4
1	ENSMUSG00000101660	Wee2
1	ENSMUSG00000101959	Traf3ip3
1	ENSMUSG00000103326	Slc22a20
1	ENSMUSG00000103392	Ccr7
2	ENSMUSG00000000958	Grtp1
2	ENSMUSG00000022376	Scgb1c1
2	ENSMUSG00000030732	Trhr2
2	ENSMUSG00000032172	6430573F11Rik
2	ENSMUSG00000033715	Exo1
2	ENSMUSG00000037159	Lrrc17
2	ENSMUSG00000042604	Arhgef38
2	ENSMUSG00000053465	Sun3
2	ENSMUSG00000073804	Entpd3
2	ENSMUSG00000076612	Gm13178
2	ENSMUSG00000089844	Dlx1
2	ENSMUSG00000096201	Crybb2
2	ENSMUSG00000103508	Kcna4
3	ENSMUSG00000001504	Map3k9
3	ENSMUSG00000004864	Gpx2
3	ENSMUSG00000010080	Kcna10
3	ENSMUSG00000017588	Sptssb
3	ENSMUSG00000020583	Defb1
3	ENSMUSG00000020889	Penk
3	ENSMUSG00000022015	Tcf21
3	ENSMUSG00000023868	Ptprcap
3	ENSMUSG00000024365	Krt32
3	ENSMUSG00000025105	Ttc6
3	ENSMUSG00000026983	Catsperb
3	ENSMUSG00000027556	Ccer1
3	ENSMUSG00000027869	Zfp445
3	ENSMUSG00000027996	Rnase2a
3	ENSMUSG00000028347	Mmp10
3	ENSMUSG00000028750	Lix1
3	ENSMUSG00000028976	Krt35
3	ENSMUSG00000029151	Dnajb8
3	ENSMUSG00000029656	4732456N10Rik
3	ENSMUSG00000031409	Fndc9
3	ENSMUSG00000031907	Tsku
3	ENSMUSG00000032080	Cyp2g1
3	ENSMUSG00000032291	Sprr1a
3	ENSMUSG00000034139	Mmp13
3	ENSMUSG00000035557	Tacstd2
3	ENSMUSG00000035804	Krt71
3	ENSMUSG00000036306	Spaca3
3	ENSMUSG00000039748	Gm6792
3	ENSMUSG00000041735	Hs6st3
3	ENSMUSG00000047014	Tg
3	ENSMUSG00000047025	Sox14
3	ENSMUSG00000048013	Oas1f
3	ENSMUSG00000050359	Ceacam10
3	ENSMUSG00000051397	Cthrc1
3	ENSMUSG00000051879	Ifi205
3	ENSMUSG00000054196	Cadps
3	ENSMUSG00000055937	Pm20d2
3	ENSMUSG00000056605	Foxi3
3	ENSMUSG00000058260	Krt28
3	ENSMUSG00000059128	Krt72
3	ENSMUSG00000060962	Smco4
3	ENSMUSG00000063661	Serpina9
3	ENSMUSG00000071471	C1qtnf3
3	ENSMUSG00000073233	Ifnl2
3	ENSMUSG00000073234	Gm6802
