cluster	gene
1	ENSMUSG00000009356
1	ENSMUSG00000015787
1	ENSMUSG00000021207
1	ENSMUSG00000021335
1	ENSMUSG00000021919
1	ENSMUSG00000022056
1	ENSMUSG00000022491
1	ENSMUSG00000022657
1	ENSMUSG00000022809
1	ENSMUSG00000023192
1	ENSMUSG00000023403
1	ENSMUSG00000026390
1	ENSMUSG00000027400
1	ENSMUSG00000027568
1	ENSMUSG00000027912
1	ENSMUSG00000029370
1	ENSMUSG00000030523
1	ENSMUSG00000030976
1	ENSMUSG00000034917
1	ENSMUSG00000036899
1	ENSMUSG00000037033
1	ENSMUSG00000037451
1	ENSMUSG00000037944
1	ENSMUSG00000038801
1	ENSMUSG00000040969
1	ENSMUSG00000042240
1	ENSMUSG00000042808
1	ENSMUSG00000043461
1	ENSMUSG00000045573
1	ENSMUSG00000045826
1	ENSMUSG00000046782
1	ENSMUSG00000047222
1	ENSMUSG00000048206
1	ENSMUSG00000053367
1	ENSMUSG00000053747
1	ENSMUSG00000054423
1	ENSMUSG00000059229
1	ENSMUSG00000064081
1	ENSMUSG00000064224
1	ENSMUSG00000064293
1	ENSMUSG00000066072
1	ENSMUSG00000067764
1	ENSMUSG00000068008
1	ENSMUSG00000071665
1	ENSMUSG00000071858
1	ENSMUSG00000073722
1	ENSMUSG00000076436
1	ENSMUSG00000076462
1	ENSMUSG00000076532
1	ENSMUSG00000076594
1	ENSMUSG00000076655
1	ENSMUSG00000078616
1	ENSMUSG00000079076
1	ENSMUSG00000079112
1	ENSMUSG00000080907
1	ENSMUSG00000081157
1	ENSMUSG00000081165
1	ENSMUSG00000081522
1	ENSMUSG00000081787
1	ENSMUSG00000082070
1	ENSMUSG00000082110
1	ENSMUSG00000082371
1	ENSMUSG00000082655
1	ENSMUSG00000082760
1	ENSMUSG00000083494
1	ENSMUSG00000084316
1	ENSMUSG00000084375
1	ENSMUSG00000085590
1	ENSMUSG00000086076
1	ENSMUSG00000086842
1	ENSMUSG00000090107
1	ENSMUSG00000091233
1	ENSMUSG00000091655
1	ENSMUSG00000091764
1	ENSMUSG00000092517
1	ENSMUSG00000095285
1	ENSMUSG00000095872
1	ENSMUSG00000096003
1	ENSMUSG00000096437
1	ENSMUSG00000096506
1	ENSMUSG00000096904
1	ENSMUSG00000097132
1	ENSMUSG00000097244
1	ENSMUSG00000098181
1	ENSMUSG00000100586
1	ENSMUSG00000101660
1	ENSMUSG00000101959
1	ENSMUSG00000103326
1	ENSMUSG00000103392
2	ENSMUSG00000000958
2	ENSMUSG00000022376
2	ENSMUSG00000030732
2	ENSMUSG00000032172
2	ENSMUSG00000033715
2	ENSMUSG00000037159
2	ENSMUSG00000042604
2	ENSMUSG00000053465
2	ENSMUSG00000073804
2	ENSMUSG00000076612
2	ENSMUSG00000089844
2	ENSMUSG00000096201
2	ENSMUSG00000103508
3	ENSMUSG00000001504
3	ENSMUSG00000004864
3	ENSMUSG00000010080
