	ENSMUSG00000026390	ENSMUSG00000042808	ENSMUSG00000085590	ENSMUSG00000022491	ENSMUSG00000034917	ENSMUSG00000100586	ENSMUSG00000029370	ENSMUSG00000067764	ENSMUSG00000009356	ENSMUSG00000042604	ENSMUSG00000081157	ENSMUSG00000047222	ENSMUSG00000022056	ENSMUSG00000096904	ENSMUSG00000101431	ENSMUSG00000021335	ENSMUSG00000076436	ENSMUSG00000082070	ENSMUSG00000022657	ENSMUSG00000027400	ENSMUSG00000027568	ENSMUSG00000046782	ENSMUSG00000053367	ENSMUSG00000064224	ENSMUSG00000073722	ENSMUSG00000095285	ENSMUSG00000082110	ENSMUSG00000101660	ENSMUSG00000027912	ENSMUSG00000040985	ENSMUSG00000091764	ENSMUSG00000091655	ENSMUSG00000030523	ENSMUSG00000074939	ENSMUSG00000023403	ENSMUSG00000038801	ENSMUSG00000068008	ENSMUSG00000079112	ENSMUSG00000090107	ENSMUSG00000097244	ENSMUSG00000023192	ENSMUSG00000081787	ENSMUSG00000096003	ENSMUSG00000098181	ENSMUSG00000066072	ENSMUSG00000080907	ENSMUSG00000025652	ENSMUSG00000054423	ENSMUSG00000096506	ENSMUSG00000037033	ENSMUSG00000059229	ENSMUSG00000079076	ENSMUSG00000103392	ENSMUSG00000086842	ENSMUSG00000081165	ENSMUSG00000021919	ENSMUSG00000015787	ENSMUSG00000021207	ENSMUSG00000022809	ENSMUSG00000030976	ENSMUSG00000036899	ENSMUSG00000037451	ENSMUSG00000042240	ENSMUSG00000043461	ENSMUSG00000048206	ENSMUSG00000053747	ENSMUSG00000064081	ENSMUSG00000071665	ENSMUSG00000071858	ENSMUSG00000076462	ENSMUSG00000076532	ENSMUSG00000076655	ENSMUSG00000078616	ENSMUSG00000082371	ENSMUSG00000082760	ENSMUSG00000083494	ENSMUSG00000084316	ENSMUSG00000084375	ENSMUSG00000086076	ENSMUSG00000095872	ENSMUSG00000101959	ENSMUSG00000081522	ENSMUSG00000103326	ENSMUSG00000082655	ENSMUSG00000022868	ENSMUSG00000053184	ENSMUSG00000073007	ENSMUSG00000076594	ENSMUSG00000103206	ENSMUSG00000092517	ENSMUSG00000073979	ENSMUSG00000091233	ENSMUSG00000029656	ENSMUSG00000100318	ENSMUSG00000083319	ENSMUSG00000083554	ENSMUSG00000084170	ENSMUSG00000073233	ENSMUSG00000025479	ENSMUSG00000081142	ENSMUSG00000064293	ENSMUSG00000071471	ENSMUSG00000048699	ENSMUSG00000078949	ENSMUSG00000073723	ENSMUSG00000079013	ENSMUSG00000096437	ENSMUSG00000026011	ENSMUSG00000022376	ENSMUSG00000094278	ENSMUSG00000027869	ENSMUSG00000098348	ENSMUSG00000089960	ENSMUSG00000103508	ENSMUSG00000033765	ENSMUSG00000061974	ENSMUSG00000038515	ENSMUSG00000034139	ENSMUSG00000047025	ENSMUSG00000101939	ENSMUSG00000079517	ENSMUSG00000037944	ENSMUSG00000049685	ENSMUSG00000050578	ENSMUSG00000048013	ENSMUSG00000066364	ENSMUSG00000017588	ENSMUSG00000026416	ENSMUSG00000078680	ENSMUSG00000054196	ENSMUSG00000042861	ENSMUSG00000073375	ENSMUSG00000054169	ENSMUSG00000035557	ENSMUSG00000032013	ENSMUSG00000063661	ENSMUSG00000024365	ENSMUSG00000022015	ENSMUSG00000026983	ENSMUSG00000032012	ENSMUSG00000032080	ENSMUSG00000073804	ENSMUSG00000027380	ENSMUSG00000047014	ENSMUSG00000015880	ENSMUSG00000054203	ENSMUSG00000082339	ENSMUSG00000030074	ENSMUSG00000045826	ENSMUSG00000097132	ENSMUSG00000063063	ENSMUSG00000041911	ENSMUSG00000010080	ENSMUSG00000044748	ENSMUSG00000058914	ENSMUSG00000032291	ENSMUSG00000033419	ENSMUSG00000094005	ENSMUSG00000096363	ENSMUSG00000095680	ENSMUSG00000001504	ENSMUSG00000037318	ENSMUSG00000020889	ENSMUSG00000083794	ENSMUSG00000025105	ENSMUSG00000089844	ENSMUSG00000015665	ENSMUSG00000039883	ENSMUSG00000004864	ENSMUSG00000095195	ENSMUSG00000027326	ENSMUSG00000049580	ENSMUSG00000047562	ENSMUSG00000027996	ENSMUSG00000087230	ENSMUSG00000034634	ENSMUSG00000050359	ENSMUSG00000018986	ENSMUSG00000080848	ENSMUSG00000028750	ENSMUSG00000055874	ENSMUSG00000060962	ENSMUSG00000056605	ENSMUSG00000031907	ENSMUSG00000039620	ENSMUSG00000031230	ENSMUSG00000039748	ENSMUSG00000026413	ENSMUSG00000024791	ENSMUSG00000010122	ENSMUSG00000023868	ENSMUSG00000076612	ENSMUSG00000029151	ENSMUSG00000047036	ENSMUSG00000033715	ENSMUSG00000053765	ENSMUSG00000051879	ENSMUSG00000027556	ENSMUSG00000037159	ENSMUSG00000003882	ENSMUSG00000034926	ENSMUSG00000000958	ENSMUSG00000031409	ENSMUSG00000028347	ENSMUSG00000027107	ENSMUSG00000027761	ENSMUSG00000032517	ENSMUSG00000045573	ENSMUSG00000054659	ENSMUSG00000046095	ENSMUSG00000045680	ENSMUSG00000061397	ENSMUSG00000071019	ENSMUSG00000073234	ENSMUSG00000058173	ENSMUSG00000036306	ENSMUSG00000032172	ENSMUSG00000047786	ENSMUSG00000073125	ENSMUSG00000096201	ENSMUSG00000039079	ENSMUSG00000079620	ENSMUSG00000103096	ENSMUSG00000028976	ENSMUSG00000035804	ENSMUSG00000026039	ENSMUSG00000030732	ENSMUSG00000041608	ENSMUSG00000078639	ENSMUSG00000020914	ENSMUSG00000026430	ENSMUSG00000059128	ENSMUSG00000041735	ENSMUSG00000058260	ENSMUSG00000028018	ENSMUSG00000053465	ENSMUSG00000042724	ENSMUSG00000048721	ENSMUSG00000053469	ENSMUSG00000020583	ENSMUSG00000051397	ENSMUSG00000081225	ENSMUSG00000055937	ENSMUSG00000028236	ENSMUSG00000027015	ENSMUSG00000022986	ENSMUSG00000040969
ENSMUSG00000026390	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000042808	0.75	1.0	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.0	1.0	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.0	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.0	0.0	0.0	0.75	0.0	0.75	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
ENSMUSG00000085590	0.75	1.0	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.0	1.0	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.0	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	1.0	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.0	0.0	0.0	0.75	0.0	0.75	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
ENSMUSG00000022491	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000034917	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000100586	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000029370	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000067764	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.0	0.75	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.25	0.75	0.75	0.75	0.0	0.75	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.75	1.0	0.75	0.75	0.75	1.0	0.75	0.75	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.0	0.0	0.0	0.75	0.0	0.75	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75
ENSMUSG00000009356	1.0	0.75	0.75	1.0	1.0	1.0	1.0	0.75	1.0	0.0	0.75	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	0.75	1.0	0.75	1.0	1.0	0.75	1.0	0.75	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	0.75	1.0	1.0	0.75	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSMUSG00000042604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.25	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
