logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000049892	1.69026170066979	8.39842206972352	16.408377504631	2.5232091154276e-08	0.000161964793119298	9.62917064767738
ENSMUSG00000033715	-2.8873661314723	4.50432450450843	-16.5835172256223	2.28674172143027e-08	0.000161964793119298	7.64046870705712
ENSMUSG00000024924	-1.22775786939944	5.2929789342671	-11.2365799132038	7.98721897929242e-07	0.00113933241395729	6.34116407334455
ENSMUSG00000030732	-1.89909497871713	5.83432461105413	-11.5887908354379	6.05630212085159e-07	0.00113933241395729	6.02770020037471
ENSMUSG00000059436	-1.3676883547529	3.87836707003241	-10.8085714748705	1.12966017261538e-06	0.00136513588524527	5.86911983835574
ENSMUSG00000037138	-1.21386772937814	5.75711326394448	-9.94098973118546	2.36877807569354e-06	0.0019006483084846	5.31299161793523
ENSMUSG00000029304	1.12218122405562	6.40423888237897	9.11200106129499	5.06533217777065e-06	0.00240847164808221	4.63379413814127
ENSMUSG00000045573	1.87257028434553	3.96049013805568	9.55034320374082	3.36600693273225e-06	0.00196421804556439	4.49262438810068
ENSMUSG00000037816	-1.21266810067184	4.42227672838145	-8.95359607720711	5.89473798857913e-06	0.0025225548765793	4.43247636797363
ENSMUSG00000043613	1.81275838333586	4.56763751274454	8.62769123236805	8.10889921398115e-06	0.00273537581171316	4.20045230159532
ENSMUSG00000031613	1.56081665542473	3.71629929221264	8.99809935603134	5.64764953533897e-06	0.00250015602533385	4.18716233370545
ENSMUSG00000073125	3.40066574123107	3.36965914764727	9.98697859691097	2.27453252588633e-06	0.0019006483084846	4.13221185081048
ENSMUSG00000032291	2.13721137050428	3.41533640412111	9.25642372160246	4.4194688087564e-06	0.00236404752361728	4.02456370780079
ENSMUSG00000021676	-1.04555786082858	5.63563787951594	-8.4381286934888	9.80491312527998e-06	0.00299703511196058	3.99205261162608
ENSMUSG00000037443	-1.2859066329714	5.34307577661266	-8.11176684190027	1.37060868316496e-05	0.00366580714051494	3.68900881883144
ENSMUSG00000014303	1.02928467678781	4.5906566922512	8.06217824179507	1.44348266448182e-05	0.00378192458094236	3.63663129212471
ENSMUSG00000030739	-2.84008447199512	4.1895595078522	-8.90868841289056	6.15610454620507e-06	0.00254942161819938	3.52958426314294
ENSMUSG00000039323	2.20424767823251	2.01570019996684	8.04027486965421	1.47700809107895e-05	0.00379236597465431	3.20928400579431
ENSMUSG00000049134	1.36091918739694	1.53780821913602	7.7966746688563	1.91293718619777e-05	0.0042341875166219	3.16169961863395
ENSMUSG00000032373	-1.3562216762876	6.00020218208169	-7.56268757694763	2.4666383530249e-05	0.00487180048863595	3.11963373626904
ENSMUSG00000038332	-1.73555676368774	5.72040225623878	-7.54025386412036	2.52827118452697e-05	0.00491787052529655	3.09569486186646
ENSMUSG00000051159	2.02576350924598	1.79817165741225	8.78617785634571	6.9358176188321e-06	0.00255174414027899	3.08356598909673
ENSMUSG00000037490	-1.52171595442358	4.99099121408883	-7.39785145889208	2.96082838743239e-05	0.00558082483227819	2.94199113511928
ENSMUSG00000042595	-1.6857483879288	3.54131988495072	-7.56757349143317	2.45343329595707e-05	0.00487180048863595	2.88396956690725
ENSMUSG00000032500	-1.45313687022598	3.48013505704898	-7.2581673109964	3.46447648684031e-05	0.0060927327586378	2.55498991851964
ENSMUSG00000029298	-1.55684752888914	2.92012572596574	-7.10132432532098	4.14363643929565e-05	0.00656740797625649	2.5229704427118
ENSMUSG00000024011	-1.62045089845917	3.63281893277076	-6.97503686432098	4.79594194187837e-05	0.0073297979345041	2.47780511281011
ENSMUSG00000020583	1.17419503940616	4.1394273534169	6.90616159517365	5.1980868392265e-05	0.00785094574611645	2.373585212622
ENSMUSG00000004945	1.19796162903815	4.07524532767201	6.893945050998	5.27316802569239e-05	0.00787173617602778	2.27671527645872
ENSMUSG00000030748	-1.1341081140741	5.92813085511104	-6.7890533126479	5.96849060115568e-05	0.00842016289424578	2.19762914424309
ENSMUSG00000001020	1.22363319965153	5.27378038283583	6.60868125132311	7.40831189406222e-05	0.00969580976206004	2.03028541271645
ENSMUSG00000031284	-1.20052947206273	2.75981419592528	-6.56838559775669	7.7790030027433e-05	0.00969580976206004	2.00885854493324
ENSMUSG00000025510	1.72498901573083	4.88516730177086	6.54179891410667	8.03456863094549e-05	0.00977852950818629	1.9572057575395
