0	7	21
ENSMUSG00000026390	0	0	-6.99302830079034
ENSMUSG00000042808	0	0	-4.38991305247767
ENSMUSG00000085590	0	0	-4.0788850764233
ENSMUSG00000022491	0	0	-3.93461661184973
ENSMUSG00000034917	0	0	-3.78895943283796
ENSMUSG00000100586	0	0	-3.34199871525274
ENSMUSG00000029370	0	0	-3.33074586704318
ENSMUSG00000067764	0	0	-3.10363007576411
ENSMUSG00000009356	0	0	-3.09037477427055
ENSMUSG00000042604	0	-3.09608473406082	2.30351815285161
ENSMUSG00000081157	0	0	-2.90688162866016
ENSMUSG00000047222	0	0	-2.77375478792638
ENSMUSG00000022056	0	0	-2.64140966203087
ENSMUSG00000096904	0	0	-2.59412206443991
ENSMUSG00000101431	-2.17380285726238	0	0
ENSMUSG00000021335	0	0	-2.48907851702314
ENSMUSG00000076436	0	0	-2.48907851702314
ENSMUSG00000082070	0	0	-2.4796995273075
ENSMUSG00000022657	0	0	-2.30975296791465
ENSMUSG00000027400	0	0	-2.30975296791465
ENSMUSG00000027568	0	0	-2.30975296791465
ENSMUSG00000046782	0	0	-2.30975296791465
ENSMUSG00000053367	0	0	-2.30975296791465
ENSMUSG00000064224	0	0	-2.30975296791465
ENSMUSG00000073722	0	0	-2.30975296791465
ENSMUSG00000095285	0	0	-2.30975296791465
ENSMUSG00000082110	0	0	-2.19575907205183
ENSMUSG00000101660	0	0	-2.14801553254003
ENSMUSG00000027912	0	0	-2.0920558336107
ENSMUSG00000040985	0	1.44250140941774	-0.87943836109621
ENSMUSG00000091764	-1.38641637648726e-07	0	-1.94659551071186
ENSMUSG00000091655	0	0	-1.90189045025094
ENSMUSG00000030523	0	0	-1.86865361439215
ENSMUSG00000074939	0	0	2.30351815285161
ENSMUSG00000023403	0	0	-1.81584865783006
ENSMUSG00000038801	0	0	-1.81584865783006
ENSMUSG00000068008	0	0	-1.81584865783006
ENSMUSG00000079112	0	0	-1.81584865783006
ENSMUSG00000090107	0	0	-1.81584865783006
ENSMUSG00000097244	0	0	-1.81584865783006
ENSMUSG00000023192	0	0	-1.74371302385911
ENSMUSG00000081787	0	0	-1.73848854141588
ENSMUSG00000096003	0	0	-1.67856632755322
ENSMUSG00000098181	0	0	-1.65150694521575
ENSMUSG00000066072	0	0	-1.87011739925936
ENSMUSG00000080907	0	0	-1.58799771694696
ENSMUSG00000025652	0	1.26509445973456	-0.29681637030466
ENSMUSG00000054423	0	0	-1.53213959714362
ENSMUSG00000096506	0	0	-1.51058111489108
ENSMUSG00000037033	0	0	-1.4984945771255
ENSMUSG00000059229	0	0	-1.49422432897075
ENSMUSG00000079076	0	0	-1.48941159386603
ENSMUSG00000103392	0	0	-1.45434954612876
ENSMUSG00000086842	0	0	-1.44627369203148
ENSMUSG00000081165	0	0	-1.44463909091439
ENSMUSG00000021919	0	0	-1.441231289906
ENSMUSG00000015787	0	0	-1.44118658029677
ENSMUSG00000021207	0	0	-1.44118658029677
ENSMUSG00000022809	0	0	-1.44118658029677
ENSMUSG00000030976	0	0	-1.44118658029677
ENSMUSG00000036899	0	0	-1.44118658029677
ENSMUSG00000037451	0	0	-1.44118658029677
ENSMUSG00000042240	0	0	-1.44118658029677
ENSMUSG00000043461	0	0	-1.44118658029677
ENSMUSG00000048206	0	0	-1.44118658029677
ENSMUSG00000053747	0	0	-1.44118658029677
ENSMUSG00000064081	0	0	-1.44118658029677
ENSMUSG00000071665	0	0	-1.44118658029677
ENSMUSG00000071858	0	0	-1.44118658029677
ENSMUSG00000076462	0	0	-1.44118658029677
ENSMUSG00000076532	0	0	-1.44118658029677
ENSMUSG00000076655	0	0	-1.44118658029677
ENSMUSG00000078616	0	0	-1.44118658029677
ENSMUSG00000082371	0	0	-1.44118658029677
ENSMUSG00000082760	0	0	-1.44118658029677
ENSMUSG00000083494	0	0	-1.44118658029677
