cluster	gene
1	ENSMUSG00000000028
1	ENSMUSG00000001025
1	ENSMUSG00000001506
1	ENSMUSG00000003644
1	ENSMUSG00000006058
1	ENSMUSG00000009075
1	ENSMUSG00000010064
1	ENSMUSG00000011267
1	ENSMUSG00000017724
1	ENSMUSG00000018372
1	ENSMUSG00000018819
1	ENSMUSG00000019808
1	ENSMUSG00000020218
1	ENSMUSG00000020491
1	ENSMUSG00000020656
1	ENSMUSG00000020889
1	ENSMUSG00000021273
1	ENSMUSG00000021643
1	ENSMUSG00000021792
1	ENSMUSG00000022215
1	ENSMUSG00000022371
1	ENSMUSG00000022425
1	ENSMUSG00000022438
1	ENSMUSG00000022676
1	ENSMUSG00000023169
1	ENSMUSG00000023868
1	ENSMUSG00000024538
1	ENSMUSG00000024678
1	ENSMUSG00000024726
1	ENSMUSG00000024875
1	ENSMUSG00000025577
1	ENSMUSG00000027304
1	ENSMUSG00000027315
1	ENSMUSG00000027533
1	ENSMUSG00000027636
1	ENSMUSG00000027706
1	ENSMUSG00000029417
1	ENSMUSG00000029570
1	ENSMUSG00000030166
1	ENSMUSG00000030717
1	ENSMUSG00000031519
1	ENSMUSG00000032262
1	ENSMUSG00000033752
1	ENSMUSG00000034435
1	ENSMUSG00000035373
1	ENSMUSG00000035799
1	ENSMUSG00000036655
1	ENSMUSG00000036748
1	ENSMUSG00000037995
1	ENSMUSG00000038900
1	ENSMUSG00000039298
1	ENSMUSG00000039452
1	ENSMUSG00000040703
1	ENSMUSG00000041660
1	ENSMUSG00000041782
1	ENSMUSG00000045128
1	ENSMUSG00000045777
1	ENSMUSG00000046056
1	ENSMUSG00000046352
1	ENSMUSG00000046364
1	ENSMUSG00000047139
1	ENSMUSG00000047757
1	ENSMUSG00000047821
1	ENSMUSG00000047875
1	ENSMUSG00000049404
1	ENSMUSG00000054252
1	ENSMUSG00000057948
1	ENSMUSG00000059060
1	ENSMUSG00000060402
1	ENSMUSG00000060935
1	ENSMUSG00000063511
1	ENSMUSG00000067219
1	ENSMUSG00000067288
1	ENSMUSG00000070436
1	ENSMUSG00000070495
1	ENSMUSG00000070564
1	ENSMUSG00000071341
1	ENSMUSG00000090000
1	ENSMUSG00000090733
2	ENSMUSG00000001150
2	ENSMUSG00000002289
2	ENSMUSG00000002343
2	ENSMUSG00000002831
2	ENSMUSG00000003123
2	ENSMUSG00000004698
2	ENSMUSG00000005043
2	ENSMUSG00000005611
2	ENSMUSG00000005871
2	ENSMUSG00000006576
2	ENSMUSG00000012519
2	ENSMUSG00000015944
2	ENSMUSG00000017631
2	ENSMUSG00000018604
2	ENSMUSG00000019907
2	ENSMUSG00000019966
2	ENSMUSG00000019984
2	ENSMUSG00000020196
2	ENSMUSG00000020686
2	ENSMUSG00000020788
2	ENSMUSG00000021277
2	ENSMUSG00000021375
2	ENSMUSG00000021823
2	ENSMUSG00000022263
2	ENSMUSG00000022324
2	ENSMUSG00000022421
2	ENSMUSG00000022790
2	ENSMUSG00000024049
2	ENSMUSG00000024112
2	ENSMUSG00000024862
2	ENSMUSG00000024900
2	ENSMUSG00000024983
2	ENSMUSG00000025027
2	ENSMUSG00000025857
2	ENSMUSG00000026077
2	ENSMUSG00000026657
2	ENSMUSG00000027716
2	ENSMUSG00000027784
2	ENSMUSG00000027933
2	ENSMUSG00000028150
2	ENSMUSG00000028468
2	ENSMUSG00000028778
2	ENSMUSG00000029804
2	ENSMUSG00000031111
2	ENSMUSG00000031273
2	ENSMUSG00000031328
2	ENSMUSG00000032115
2	ENSMUSG00000032289
2	ENSMUSG00000032409
2	ENSMUSG00000032480
2	ENSMUSG00000032777
2	ENSMUSG00000032911
2	ENSMUSG00000033039
2	ENSMUSG00000033083
2	ENSMUSG00000033306
2	ENSMUSG00000033453
2	ENSMUSG00000034126
2	ENSMUSG00000034731
2	ENSMUSG00000034850
2	ENSMUSG00000034903
2	ENSMUSG00000034926
2	ENSMUSG00000035948
2	ENSMUSG00000036208
2	ENSMUSG00000036745
2	ENSMUSG00000037709
2	ENSMUSG00000037999
2	ENSMUSG00000039089
2	ENSMUSG00000039262
2	ENSMUSG00000039470
2	ENSMUSG00000039929
2	ENSMUSG00000040136
2	ENSMUSG00000040537
2	ENSMUSG00000040697
2	ENSMUSG00000041741
2	ENSMUSG00000041975
2	ENSMUSG00000042607
2	ENSMUSG00000042644
2	ENSMUSG00000042763
2	ENSMUSG00000043456
2	ENSMUSG00000043909
2	ENSMUSG00000045980
2	ENSMUSG00000046380
2	ENSMUSG00000048218
2	ENSMUSG00000050315
2	ENSMUSG00000050428
2	ENSMUSG00000052296
2	ENSMUSG00000053965
2	ENSMUSG00000055660
2	ENSMUSG00000055733
2	ENSMUSG00000056900
2	ENSMUSG00000056919
2	ENSMUSG00000058740
2	ENSMUSG00000061322
2	ENSMUSG00000061603
2	ENSMUSG00000063849
2	ENSMUSG00000066113
2	ENSMUSG00000067928
2	ENSMUSG00000068115
2	ENSMUSG00000068747
2	ENSMUSG00000069515
2	ENSMUSG00000073557
2	ENSMUSG00000074384
2	ENSMUSG00000078684
2	ENSMUSG00000078937
2	ENSMUSG00000079020
2	ENSMUSG00000079243
2	ENSMUSG00000080268
2	ENSMUSG00000083405
2	ENSMUSG00000090958
2	ENSMUSG00000092329
3	ENSMUSG00000000567
3	ENSMUSG00000001020
3	ENSMUSG00000001403
3	ENSMUSG00000002055
3	ENSMUSG00000003038
3	ENSMUSG00000006457
3	ENSMUSG00000014303
3	ENSMUSG00000016637
3	ENSMUSG00000016763
3	ENSMUSG00000017716
3	ENSMUSG00000019194
3	ENSMUSG00000020018
3	ENSMUSG00000020330
3	ENSMUSG00000020407
3	ENSMUSG00000020458
3	ENSMUSG00000021614
3	ENSMUSG00000021943
3	ENSMUSG00000023232
3	ENSMUSG00000023505
3	ENSMUSG00000024378
3	ENSMUSG00000024521
3	ENSMUSG00000025290
3	ENSMUSG00000025362
3	ENSMUSG00000025429
3	ENSMUSG00000025747
3	ENSMUSG00000026039
3	ENSMUSG00000026278
3	ENSMUSG00000026574
3	ENSMUSG00000027107
3	ENSMUSG00000027306
3	ENSMUSG00000027524
3	ENSMUSG00000027715
3	ENSMUSG00000027864
3	ENSMUSG00000028018
3	ENSMUSG00000028539
3	ENSMUSG00000028545
3	ENSMUSG00000028583
3	ENSMUSG00000028678
3	ENSMUSG00000029153
3	ENSMUSG00000029177
3	ENSMUSG00000029337
3	ENSMUSG00000029683
3	ENSMUSG00000030110
3	ENSMUSG00000030214
3	ENSMUSG00000030433
3	ENSMUSG00000030867
3	ENSMUSG00000031239
3	ENSMUSG00000031962
3	ENSMUSG00000032218
3	ENSMUSG00000032251
3	ENSMUSG00000032254
3	ENSMUSG00000032291
3	ENSMUSG00000032334
3	ENSMUSG00000034648
3	ENSMUSG00000035199
3	ENSMUSG00000036777
3	ENSMUSG00000037161
3	ENSMUSG00000037318
3	ENSMUSG00000037725
3	ENSMUSG00000038155
3	ENSMUSG00000039001
3	ENSMUSG00000039323
3	ENSMUSG00000039481
3	ENSMUSG00000039747
3	ENSMUSG00000039883
3	ENSMUSG00000040310
3	ENSMUSG00000040459
3	ENSMUSG00000040797
3	ENSMUSG00000041219
3	ENSMUSG00000041220
3	ENSMUSG00000041431
3	ENSMUSG00000042501
3	ENSMUSG00000043613
3	ENSMUSG00000044550
3	ENSMUSG00000044927
3	ENSMUSG00000047786
3	ENSMUSG00000048327
3	ENSMUSG00000048922
3	ENSMUSG00000049641
3	ENSMUSG00000051159
3	ENSMUSG00000051367
3	ENSMUSG00000056612
3	ENSMUSG00000057322
3	ENSMUSG00000057691
3	ENSMUSG00000058503
3	ENSMUSG00000062184
3	ENSMUSG00000068220
3	ENSMUSG00000073125
3	ENSMUSG00000074476
3	ENSMUSG00000079435
3	ENSMUSG00000079523
3	ENSMUSG00000079641
3	ENSMUSG00000082035
3	ENSMUSG00000094777
3	ENSMUSG00000096951
3	ENSMUSG00000097808
4	ENSMUSG00000003355
4	ENSMUSG00000003824
4	ENSMUSG00000004347
4	ENSMUSG00000006649
4	ENSMUSG00000008683
4	ENSMUSG00000009927
4	ENSMUSG00000018923
4	ENSMUSG00000019848
4	ENSMUSG00000019880
4	ENSMUSG00000020090
4	ENSMUSG00000020216
4	ENSMUSG00000020592
4	ENSMUSG00000020649
4	ENSMUSG00000022440
4	ENSMUSG00000022464
4	ENSMUSG00000022510
4	ENSMUSG00000024048
4	ENSMUSG00000024660
4	ENSMUSG00000024907
4	ENSMUSG00000025150
4	ENSMUSG00000025574
4	ENSMUSG00000025794
4	ENSMUSG00000025930
4	ENSMUSG00000027208
4	ENSMUSG00000027239
4	ENSMUSG00000027962
4	ENSMUSG00000027996
4	ENSMUSG00000028020
4	ENSMUSG00000028234
4	ENSMUSG00000028347
4	ENSMUSG00000028407
4	ENSMUSG00000028936
4	ENSMUSG00000029304
4	ENSMUSG00000029380
4	ENSMUSG00000030074
4	ENSMUSG00000030303
4	ENSMUSG00000030432
4	ENSMUSG00000030814
4	ENSMUSG00000031230
4	ENSMUSG00000031380
4	ENSMUSG00000031613
4	ENSMUSG00000031697
4	ENSMUSG00000032013
4	ENSMUSG00000032518
4	ENSMUSG00000032698
4	ENSMUSG00000034324
4	ENSMUSG00000034394
4	ENSMUSG00000034892
4	ENSMUSG00000035295
4	ENSMUSG00000035385
4	ENSMUSG00000036306
4	ENSMUSG00000037568
4	ENSMUSG00000037601
4	ENSMUSG00000037805
4	ENSMUSG00000039813
4	ENSMUSG00000040204
4	ENSMUSG00000040212
4	ENSMUSG00000040952
4	ENSMUSG00000041347
4	ENSMUSG00000041841
