geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	259	23	2.7186713638651234	8.460014809329877	2.9976021664879227e-15	2.434052959188193e-12	11695;12560;12740;12842;14178;14620;16667;16675;16870;17702;20682;21420;22061;58208;64929;69073;70810;94092;107586;109620;110805;195733;241639	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000001506;ENSMUSG00000017588;ENSMUSG00000020656;ENSMUSG00000021469;ENSMUSG00000022123;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027356;ENSMUSG00000028640;ENSMUSG00000035557;ENSMUSG00000035831;ENSMUSG00000037279;ENSMUSG00000037600;ENSMUSG00000040310;ENSMUSG00000042367;ENSMUSG00000047501;ENSMUSG00000047821;ENSMUSG00000048251;ENSMUSG00000054889;ENSMUSG00000061048;ENSMUSG00000070990
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	392	25	4.114745848012078	6.07570939334638	3.432809592140984e-13	1.3937206944092395e-10	12560;14178;14181;14205;18102;18612;20296;20319;20666;20682;20724;21420;22061;22160;56753;58208;69073;71920;97165;107586;207920;217166;226841;241639;242285	ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000020889;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027356;ENSMUSG00000027996;ENSMUSG00000028236;ENSMUSG00000028640;ENSMUSG00000031380;ENSMUSG00000035020;ENSMUSG00000035385;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000037568;ENSMUSG00000037600;ENSMUSG00000037601;ENSMUSG00000040728;ENSMUSG00000048251;ENSMUSG00000048373;ENSMUSG00000051397;ENSMUSG00000054717;ENSMUSG00000061048;ENSMUSG00000063632;ENSMUSG00000067006
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	295	21	3.096556186641743	6.7817274204782905	3.982481011632899e-12	1.0779248604819713e-9	11695;12560;14178;16667;16675;16870;17702;20682;21420;22061;58208;64929;69073;70810;94092;107586;109620;110805;195733;207920;241639	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000017588;ENSMUSG00000020656;ENSMUSG00000021469;ENSMUSG00000022123;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027356;ENSMUSG00000028640;ENSMUSG00000035557;ENSMUSG00000035831;ENSMUSG00000037279;ENSMUSG00000037600;ENSMUSG00000040310;ENSMUSG00000040728;ENSMUSG00000047821;ENSMUSG00000048251;ENSMUSG00000054889;ENSMUSG00000061048;ENSMUSG00000070990
GO:0042303	molting cycle	http://amigo.geneontology.org/amigo/term/GO:0042303	109	13	1.1441512689625424	11.362133970089229	1.0803713479390353e-10	2.1931538363162417e-8	11695;12560;14178;16667;16675;16870;17702;20682;21420;22061;70810;110805;241639	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000017588;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027356;ENSMUSG00000028640;ENSMUSG00000035557;ENSMUSG00000035831;ENSMUSG00000040310;ENSMUSG00000061048;ENSMUSG00000070990
GO:0048736	appendage development	http://amigo.geneontology.org/amigo/term/GO:0048736	190	12	1.9943921202099362	6.0168709444844986	7.448596119896678e-7	1.2096520098712205e-4	11695;12824;13798;17702;20319;20666;20682;22061;22160;69073;72780;228770	ENSMUSG00000000567;ENSMUSG00000019880;ENSMUSG00000021469;ENSMUSG00000022483;ENSMUSG00000022510;ENSMUSG00000027996;ENSMUSG00000032852;ENSMUSG00000035799;ENSMUSG00000037600;ENSMUSG00000040310;ENSMUSG00000058665;ENSMUSG00000063632
GO:0030856	regulation of epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030856	136	10	1.427564886045007	7.004935535858178	1.6408015837132695e-6	2.2205514766252915e-4	16878;17702;19116;20682;22061;69073;94092;107586;195733;207920	ENSMUSG00000000567;ENSMUSG00000005268;ENSMUSG00000020656;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000034394;ENSMUSG00000037279;ENSMUSG00000037600;ENSMUSG00000040728;ENSMUSG00000047821
GO:0016331	morphogenesis of embryonic epithelium	http://amigo.geneontology.org/amigo/term/GO:0016331	172	10	1.8054497088216264	5.538786237655304	1.3396842753810034e-5	0.001554033759441964	16870;19713;20115;20319;20666;20682;22061;22160;69073;107586	ENSMUSG00000000247;ENSMUSG00000000567;ENSMUSG00000022510;ENSMUSG00000027996;ENSMUSG00000030110;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000037600;ENSMUSG00000061477;ENSMUSG00000063632
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	474	16	4.975483499892157	3.215767874689324	3.79157645920003e-5	0.0038484501060880305	13393;14178;14619;14620;16691;16878;19116;20319;20682;20724;22061;72780;76943;97165;107586;226841	ENSMUSG00000000567;ENSMUSG00000001510;ENSMUSG00000005268;ENSMUSG00000019880;ENSMUSG00000022510;ENSMUSG00000027208;ENSMUSG00000027996;ENSMUSG00000034394;ENSMUSG00000037279;ENSMUSG00000037568;ENSMUSG00000042367;ENSMUSG00000043430;ENSMUSG00000046352;ENSMUSG00000049382;ENSMUSG00000054717;ENSMUSG00000067006
GO:0048863	stem cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0048863	209	10	2.1938313322309297	4.558235564003408	7.0948407433713e-5	0.006401122981797218	16878;17702;18612;19713;20666;20682;22061;22160;56753;107586	ENSMUSG00000000567;ENSMUSG00000017724;ENSMUSG00000021469;ENSMUSG00000022510;ENSMUSG00000030110;ENSMUSG00000034394;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000051397;ENSMUSG00000063632
GO:0003007	heart morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0003007	258	11	2.7081745632324394	4.0617765742805565	8.70099597671814e-5	0.00689403048223237	11464;12824;17702;17930;20319;20666;20682;21956;22160;107586;109620	ENSMUSG00000000567;ENSMUSG00000021469;ENSMUSG00000022483;ENSMUSG00000026414;ENSMUSG00000027996;ENSMUSG00000031461;ENSMUSG00000035799;ENSMUSG00000037279;ENSMUSG00000054889;ENSMUSG00000063632;ENSMUSG00000068614
