geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	259	23	2.6441872169099145	8.69832508564903	1.5543122344752192e-15	1.262101534393878e-12	11695;12560;12740;12842;14178;14620;16667;16675;16870;17702;20682;21420;22061;58208;64929;69073;70810;94092;107586;109620;110805;195733;241639	Lhx2;Sox9;Col1a1;Krt27;Grhl1;Msx2;Scel;Trp63;Fgf7;Fermt1;Tfap2c;Krt17;Krt25;Ovol2;Kdf1;Alx4;Gjb3;Cldn4;Trim16;Bcl11b;Dsp;Cdh3;Foxe1
GO:0050673	epithelial cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0050673	392	24	4.002013085052844	5.996981891348089	1.383337888682945e-12	5.616351828052757e-10	12560;14178;14181;18102;18612;20296;20319;20666;20682;20724;21420;22061;22160;56753;58208;69073;71920;97165;107586;207920;217166;226841;241639;242285	Sox9;Etv4;Nr1d1;Trp63;Fgf7;Fermt1;Sfrp2;Sdr16c5;Tfap2c;Epgn;Ccl2;Twist1;Ovol2;Vash2;Kdf1;Nme1;Esrp1;Bcl11b;Fgfbp1;Tacstd2;Hmgb2;Cdh3;Sox11;Serpinb5
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	295	21	3.011719030843339	6.972761995703032	2.2932766796657233e-012	6.207135546295225e-10	11695;12560;14178;16667;16675;16870;17702;20682;21420;22061;58208;64929;69073;70810;94092;107586;109620;110805;195733;207920;241639	Lhx2;Sox9;Krt27;Grhl1;Msx2;Scel;Trp63;Fgf7;Fermt1;Tfap2c;Krt17;Krt25;Ovol2;Kdf1;Alx4;Esrp1;Trim16;Bcl11b;Dsp;Cdh3;Foxe1
GO:0042303	molting cycle	http://amigo.geneontology.org/amigo/term/GO:0042303	109	13	1.1128046588539795	11.682194081922729	7.603628837671295e-11	1.5435366540472728e-8	11695;12560;14178;16667;16675;16870;17702;20682;21420;22061;70810;110805;241639	Lhx2;Sox9;Krt27;Msx2;Trp63;Fgf7;Fermt1;Tfap2c;Krt17;Krt25;Alx4;Cdh3;Foxe1
GO:0048736	appendage development	http://amigo.geneontology.org/amigo/term/GO:0048736	190	12	1.9397512402041843	6.186360266864344	5.521816626163911e-7	8.967430200890192e-5	11695;12824;13798;17702;20319;20666;20682;22061;22160;69073;72780;228770	Sox9;Rspo3;Msx2;Col2a1;Trp63;Sfrp2;Rspo4;Twist1;Kdf1;Alx4;En1;Sox11
GO:0030856	regulation of epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030856	136	10	1.3884535193040477	7.202257663628832	1.2729809801825809e-6	1.7227675931804262e-4	16878;17702;19116;20682;22061;69073;94092;107586;195733;207920	Sox9;Prlr;Grhl1;Msx2;Trp63;Lif;Ovol2;Kdf1;Esrp1;Trim16
GO:0016331	morphogenesis of embryonic epithelium	http://amigo.geneontology.org/amigo/term/GO:0016331	172	10	1.7559853332374722	5.69480838519489	1.049134312691713e-5	0.001216995802722387	16870;19713;20115;20319;20666;20682;22061;22160;69073;107586	Lhx2;Sox9;Trp63;Sfrp2;Ret;Twist1;Ovol2;Kdf1;Rps7;Sox11
GO:0061458	reproductive system development	http://amigo.geneontology.org/amigo/term/GO:0061458	474	16	4.839168883456755	3.306352885243953	2.686472016777408e-5	0.0027267690970290692	13393;14178;14619;14620;16691;16878;19116;20319;20682;20724;22061;72780;76943;97165;107586;226841	Sox9;Dlx3;Prlr;Rspo3;Trp63;Fgf7;Sfrp2;Lif;Ovol2;Vash2;Gjb3;Psapl1;Gjb2;Krt8;Hmgb2;Serpinb5
GO:0048863	stem cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0048863	209	10	2.1337263642246027	4.686636565806321	5.609505241022106e-5	0.005061020284122167	16878;17702;18612;19713;20666;20682;22061;22160;56753;107586	Sox9;Etv4;Msx2;Trp63;Ret;Lif;Twist1;Ovol2;Tacstd2;Sox11
GO:0003007	heart morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0003007	258	11	2.6339779998562083	4.1761928158095865	6.765158175925379e-5	0.005181178556587133	11464;12824;17702;17930;20319;20666;20682;21956;22160;107586;109620	Sox9;Msx2;Col2a1;Tnnt2;Sfrp2;Myom2;Twist1;Ovol2;Dsp;Sox11;Actc1
GO:0060562	epithelial tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0060562	355	13	3.6242720540657127	3.586927196984725	7.018837946115575e-5	0.005181178556587133	16870;17702;18612;19713;20115;20319;20666;20682;21420;22160;56753;107586;207920	Lhx2;Sox9;Etv4;Msx2;Sfrp2;Tfap2c;Ret;Twist1;Ovol2;Esrp1;Tacstd2;Rps7;Sox11
GO:0022612	gland morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0022612	143	8	1.4599180386799915	5.479759676942775	1.0800809645106213e-4	0.007308547859855205	14178;17702;18612;20682;20724;21420;22061;207920	Sox9;Etv4;Msx2;Trp63;Fgf7;Tfap2c;Esrp1;Serpinb5
GO:0001763	morphogenesis of a branching structure	http://amigo.geneontology.org/amigo/term/GO:0001763	230	10	2.3481199223524336	4.258726270667483	1.2438506322098863e-4	0.0077692824104186745	14178;17702;18612;20319;20682;21420;22061;56753;72780;207920	Sox9;Etv4;Rspo3;Msx2;Trp63;Fgf7;Sfrp2;Tfap2c;Esrp1;Tacstd2
GO:0042476	odontogenesis	http://amigo.geneontology.org/amigo/term/GO:0042476	121	7	1.2353152634984543	5.666569665929461	2.3886670524775333e-4	0.013854268904369693	12842;13390;13393;17702;22061;22160;58208	Col1a1;Dlx3;Msx2;Trp63;Twist1;Dlx1;Bcl11b
GO:0035148	tube formation	http://amigo.geneontology.org/amigo/term/GO:0035148	165	8	1.6845208138615286	4.749125053350405	2.889562366505949e-4	0.01467320372745995	16870;19713;20115;20319;20666;20682;22160;107586	Lhx2;Sox9;Sfrp2;Ret;Twist1;Ovol2;Rps7;Sox11
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	356	12	3.634481271119419	3.3017091311916444	2.891271670435458e-4	0.01467320372745995	12824;12842;14560;17702;17928;20319;20666;20682;20750;22061;22160;107250	Sox9;Col1a1;Msx2;Gdf10;Col2a1;Trp63;Kazald1;Myog;Sfrp2;Spp1;Twist1;Sox11
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	279	10	2.848371557984039	3.51077792922409	5.824962980280901e-4	0.027822764352871128	12406;12824;12842;20319;20682;20724;54631;76293;107250;241639	Sox9;Col1a1;Nphs1;Col2a1;Kazald1;Fermt1;Sfrp2;Mfap4;Serpinb5;Serpinh1
GO:1905330	regulation of morphogenesis of an epithelium	http://amigo.geneontology.org/amigo/term/GO:1905330	105	6	1.0719677906391545	5.597183098591549	7.15795213037107e-4	0.032290317388118384	14178;16878;18612;20319;20682;56753	Sox9;Etv4;Fgf7;Sfrp2;Lif;Tacstd2
GO:0048568	embryonic organ development	http://amigo.geneontology.org/amigo/term/GO:0048568	472	13	4.818750449349342	2.6977948197660537	0.001089446092086832	0.046559485619710926	11695;12824;13798;14623;16691;16878;20666;20682;22160;72780;107586;110805;226841	Sox9;Rspo3;Col2a1;Lif;Twist1;Ovol2;Vash2;Gjb6;Alx4;Krt8;En1;Sox11;Foxe1
GO:0030104	water homeostasis	http://amigo.geneontology.org/amigo/term/GO:0030104	46	4	0.46962398447048675	8.517452541334967	0.0012183752337949771	0.04946603449207607	12740;22061;69073;195733	Grhl1;Trp63;Kdf1;Cldn4
