userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000296	Tpd52l1	tumor protein D52-like 1	21987	https://www.ncbi.nlm.nih.gov/gene/?term=21987
ENSMUSG00000001020	S100a4	S100 calcium binding protein A4	20198	https://www.ncbi.nlm.nih.gov/gene/?term=20198
ENSMUSG00000002055	Spag5	sperm associated antigen 5	54141	https://www.ncbi.nlm.nih.gov/gene/?term=54141
ENSMUSG00000002778	Kdelr1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	68137	https://www.ncbi.nlm.nih.gov/gene/?term=68137
ENSMUSG00000004945	Tmem242	transmembrane protein 242	70544	https://www.ncbi.nlm.nih.gov/gene/?term=70544
ENSMUSG00000005410	Mcm5	minichromosome maintenance complex component 5	17218	https://www.ncbi.nlm.nih.gov/gene/?term=17218
ENSMUSG00000006777	Krt23	keratin 23	94179	https://www.ncbi.nlm.nih.gov/gene/?term=94179
ENSMUSG00000010342	Tex14	testis expressed gene 14	83560	https://www.ncbi.nlm.nih.gov/gene/?term=83560
ENSMUSG00000015354	Pcolce2	procollagen C-endopeptidase enhancer 2	76477	https://www.ncbi.nlm.nih.gov/gene/?term=76477
ENSMUSG00000017491	Rarb	retinoic acid receptor, beta	218772	https://www.ncbi.nlm.nih.gov/gene/?term=218772
ENSMUSG00000019942	Cdk1	cyclin-dependent kinase 1	12534	https://www.ncbi.nlm.nih.gov/gene/?term=12534
ENSMUSG00000020330	Hmmr	hyaluronan mediated motility receptor (RHAMM)	15366	https://www.ncbi.nlm.nih.gov/gene/?term=15366
ENSMUSG00000020407	Upp1	uridine phosphorylase 1	22271	https://www.ncbi.nlm.nih.gov/gene/?term=22271
ENSMUSG00000021569	Trip13	thyroid hormone receptor interactor 13	69716	https://www.ncbi.nlm.nih.gov/gene/?term=69716
ENSMUSG00000021732	Fgf10	fibroblast growth factor 10	14165	https://www.ncbi.nlm.nih.gov/gene/?term=14165
ENSMUSG00000022033	Pbk	PDZ binding kinase	52033	https://www.ncbi.nlm.nih.gov/gene/?term=52033
ENSMUSG00000023945	Slc5a7	solute carrier family 5 (choline transporter), member 7	63993	https://www.ncbi.nlm.nih.gov/gene/?term=63993
ENSMUSG00000024987	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	13082	https://www.ncbi.nlm.nih.gov/gene/?term=13082
ENSMUSG00000025001	Hells	helicase, lymphoid specific	15201	https://www.ncbi.nlm.nih.gov/gene/?term=15201
ENSMUSG00000025747	Tyms	thymidylate synthase	22171	https://www.ncbi.nlm.nih.gov/gene/?term=22171
ENSMUSG00000026278	Bok	BCL2-related ovarian killer	51800	https://www.ncbi.nlm.nih.gov/gene/?term=51800
ENSMUSG00000026574	Dpt	dermatopontin	56429	https://www.ncbi.nlm.nih.gov/gene/?term=56429
ENSMUSG00000026697	Myoc	myocilin	17926	https://www.ncbi.nlm.nih.gov/gene/?term=17926
