userId	geneSymbol	geneName	entrezgene	gLink
Tpd52l1	Tpd52l1	tumor protein D52-like 1	21987	https://www.ncbi.nlm.nih.gov/gene/?term=21987
S100a4	S100a4	S100 calcium binding protein A4	20198	https://www.ncbi.nlm.nih.gov/gene/?term=20198
Spag5	Spag5	sperm associated antigen 5	54141	https://www.ncbi.nlm.nih.gov/gene/?term=54141
Kdelr1	Kdelr1	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1	68137	https://www.ncbi.nlm.nih.gov/gene/?term=68137
Tmem242	Tmem242	transmembrane protein 242	70544	https://www.ncbi.nlm.nih.gov/gene/?term=70544
Mcm5	Mcm5	minichromosome maintenance complex component 5	17218	https://www.ncbi.nlm.nih.gov/gene/?term=17218
Krt23	Krt23	keratin 23	94179	https://www.ncbi.nlm.nih.gov/gene/?term=94179
Tex14	Tex14	testis expressed gene 14	83560	https://www.ncbi.nlm.nih.gov/gene/?term=83560
Pcolce2	Pcolce2	procollagen C-endopeptidase enhancer 2	76477	https://www.ncbi.nlm.nih.gov/gene/?term=76477
Rarb	Rarb	retinoic acid receptor, beta	218772	https://www.ncbi.nlm.nih.gov/gene/?term=218772
Cdk1	Cdk1	cyclin-dependent kinase 1	12534	https://www.ncbi.nlm.nih.gov/gene/?term=12534
Hmmr	Hmmr	hyaluronan mediated motility receptor (RHAMM)	15366	https://www.ncbi.nlm.nih.gov/gene/?term=15366
Upp1	Upp1	uridine phosphorylase 1	22271	https://www.ncbi.nlm.nih.gov/gene/?term=22271
Trip13	Trip13	thyroid hormone receptor interactor 13	69716	https://www.ncbi.nlm.nih.gov/gene/?term=69716
Fgf10	Fgf10	fibroblast growth factor 10	14165	https://www.ncbi.nlm.nih.gov/gene/?term=14165
Pbk	Pbk	PDZ binding kinase	52033	https://www.ncbi.nlm.nih.gov/gene/?term=52033
Slc5a7	Slc5a7	solute carrier family 5 (choline transporter), member 7	63993	https://www.ncbi.nlm.nih.gov/gene/?term=63993
Cyp26a1	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	13082	https://www.ncbi.nlm.nih.gov/gene/?term=13082
Hells	Hells	helicase, lymphoid specific	15201	https://www.ncbi.nlm.nih.gov/gene/?term=15201
Tyms	Tyms	thymidylate synthase	22171	https://www.ncbi.nlm.nih.gov/gene/?term=22171
Bok	Bok	BCL2-related ovarian killer	51800	https://www.ncbi.nlm.nih.gov/gene/?term=51800
Dpt	Dpt	dermatopontin	56429	https://www.ncbi.nlm.nih.gov/gene/?term=56429
Myoc	Myoc	myocilin	17926	https://www.ncbi.nlm.nih.gov/gene/?term=17926
Tnn	Tnn	tenascin N	329278	https://www.ncbi.nlm.nih.gov/gene/?term=329278
Lamc3	Lamc3	laminin gamma 3	23928	https://www.ncbi.nlm.nih.gov/gene/?term=23928
Edn3	Edn3	endothelin 3	13616	https://www.ncbi.nlm.nih.gov/gene/?term=13616
Ccna2	Ccna2	cyclin A2	12428	https://www.ncbi.nlm.nih.gov/gene/?term=12428
Ptgfrn	Ptgfrn	prostaglandin F2 receptor negative regulator	19221	https://www.ncbi.nlm.nih.gov/gene/?term=19221
Ermap	Ermap	erythroblast membrane-associated protein	27028	https://www.ncbi.nlm.nih.gov/gene/?term=27028
Ibsp	Ibsp	integrin binding sialoprotein	15891	https://www.ncbi.nlm.nih.gov/gene/?term=15891
Reg3g	Reg3g	regenerating islet-derived 3 gamma	19695	https://www.ncbi.nlm.nih.gov/gene/?term=19695
Hpgd	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)	15446	https://www.ncbi.nlm.nih.gov/gene/?term=15446
Gins2	Gins2	GINS complex subunit 2 (Psf2 homolog)	272551	https://www.ncbi.nlm.nih.gov/gene/?term=272551
Kif23	Kif23	kinesin family member 23	71819	https://www.ncbi.nlm.nih.gov/gene/?term=71819
Arl6ip5	Arl6ip5	ADP-ribosylation factor-like 6 interacting protein 5	65106	https://www.ncbi.nlm.nih.gov/gene/?term=65106
Rapgefl1	Rapgefl1	Rap guanine nucleotide exchange factor (GEF)-like 1	268480	https://www.ncbi.nlm.nih.gov/gene/?term=268480
Igfbp2	Igfbp2	insulin-like growth factor binding protein 2	16008	https://www.ncbi.nlm.nih.gov/gene/?term=16008
Ncoa7	Ncoa7	nuclear receptor coactivator 7	211329	https://www.ncbi.nlm.nih.gov/gene/?term=211329
Pla2g5	Pla2g5	phospholipase A2, group V	18784	https://www.ncbi.nlm.nih.gov/gene/?term=18784
Ccnb1	Ccnb1	cyclin B1	268697	https://www.ncbi.nlm.nih.gov/gene/?term=268697
Mmp3	Mmp3	matrix metallopeptidase 3	17392	https://www.ncbi.nlm.nih.gov/gene/?term=17392
Cdc25c	Cdc25c	cell division cycle 25C	12532	https://www.ncbi.nlm.nih.gov/gene/?term=12532
Arl4c	Arl4c	ADP-ribosylation factor-like 4C	320982	https://www.ncbi.nlm.nih.gov/gene/?term=320982
Grem2	Grem2	gremlin 2, DAN family BMP antagonist	23893	https://www.ncbi.nlm.nih.gov/gene/?term=23893
Cited1	Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	12705	https://www.ncbi.nlm.nih.gov/gene/?term=12705
Kif18b	Kif18b	kinesin family member 18B	70218	https://www.ncbi.nlm.nih.gov/gene/?term=70218
Ostn	Ostn	osteocrin	239790	https://www.ncbi.nlm.nih.gov/gene/?term=239790
Chst13	Chst13	carbohydrate sulfotransferase 13	71797	https://www.ncbi.nlm.nih.gov/gene/?term=71797
Zfp746	Zfp746	zinc finger protein 746	69228	https://www.ncbi.nlm.nih.gov/gene/?term=69228
Ctnna2	Ctnna2	catenin (cadherin associated protein), alpha 2	12386	https://www.ncbi.nlm.nih.gov/gene/?term=12386
Xlr3b	Xlr3b	X-linked lymphocyte-regulated 3B	574437	https://www.ncbi.nlm.nih.gov/gene/?term=574437
Gal3st2	Gal3st2	galactose-3-O-sulfotransferase 2	381334	https://www.ncbi.nlm.nih.gov/gene/?term=381334
