userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000000889	Dbh	dopamine beta hydroxylase	13166	https://www.ncbi.nlm.nih.gov/gene/?term=13166
ENSMUSG00000001027	Scn4a	sodium channel, voltage-gated, type IV, alpha	110880	https://www.ncbi.nlm.nih.gov/gene/?term=110880
ENSMUSG00000003283	Hck	hemopoietic cell kinase	15162	https://www.ncbi.nlm.nih.gov/gene/?term=15162
ENSMUSG00000004098	Col5a3	collagen, type V, alpha 3	53867	https://www.ncbi.nlm.nih.gov/gene/?term=53867
ENSMUSG00000009216	Fam163b	family with sequence similarity 163, member B	109349	https://www.ncbi.nlm.nih.gov/gene/?term=109349
ENSMUSG00000015709	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
ENSMUSG00000018927	Ccl6	chemokine (C-C motif) ligand 6	20305	https://www.ncbi.nlm.nih.gov/gene/?term=20305
ENSMUSG00000019464	Ptger1	prostaglandin E receptor 1 (subtype EP1)	19216	https://www.ncbi.nlm.nih.gov/gene/?term=19216
ENSMUSG00000019731	Slc35e1	solute carrier family 35, member E1	270066	https://www.ncbi.nlm.nih.gov/gene/?term=270066
ENSMUSG00000020357	Flt4	FMS-like tyrosine kinase 4	14257	https://www.ncbi.nlm.nih.gov/gene/?term=14257
ENSMUSG00000020399	Havcr2	hepatitis A virus cellular receptor 2	171285	https://www.ncbi.nlm.nih.gov/gene/?term=171285
ENSMUSG00000021750	Fam107a	family with sequence similarity 107, member A	268709	https://www.ncbi.nlm.nih.gov/gene/?term=268709
ENSMUSG00000022129	Dct	dopachrome tautomerase	13190	https://www.ncbi.nlm.nih.gov/gene/?term=13190
ENSMUSG00000022148	Fyb	FYN binding protein	23880	https://www.ncbi.nlm.nih.gov/gene/?term=23880
ENSMUSG00000022376	Adcy8	adenylate cyclase 8	11514	https://www.ncbi.nlm.nih.gov/gene/?term=11514
ENSMUSG00000024163	Mapk8ip3	mitogen-activated protein kinase 8 interacting protein 3	30957	https://www.ncbi.nlm.nih.gov/gene/?term=30957
ENSMUSG00000024228	Nudt12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	67993	https://www.ncbi.nlm.nih.gov/gene/?term=67993
ENSMUSG00000024924	Vldlr	very low density lipoprotein receptor	22359	https://www.ncbi.nlm.nih.gov/gene/?term=22359
ENSMUSG00000025359	Pmel	premelanosome protein	20431	https://www.ncbi.nlm.nih.gov/gene/?term=20431
ENSMUSG00000026944	Abca2	ATP-binding cassette, sub-family A (ABC1), member 2	11305	https://www.ncbi.nlm.nih.gov/gene/?term=11305
ENSMUSG00000029298	Gbp9	guanylate-binding protein 9	236573	https://www.ncbi.nlm.nih.gov/gene/?term=236573
ENSMUSG00000029419	Ajm1	apical junction component 1	381353	https://www.ncbi.nlm.nih.gov/gene/?term=381353
ENSMUSG00000029577	Ube3b	ubiquitin protein ligase E3B	117146	https://www.ncbi.nlm.nih.gov/gene/?term=117146
ENSMUSG00000030579	Tyrobp	TYRO protein tyrosine kinase binding protein	22177	https://www.ncbi.nlm.nih.gov/gene/?term=22177
ENSMUSG00000030739	Myh14	myosin, heavy polypeptide 14	71960	https://www.ncbi.nlm.nih.gov/gene/?term=71960
ENSMUSG00000032172	Olfm2	olfactomedin 2	244723	https://www.ncbi.nlm.nih.gov/gene/?term=244723
ENSMUSG00000032356	Rasgrf1	RAS protein-specific guanine nucleotide-releasing factor 1	19417	https://www.ncbi.nlm.nih.gov/gene/?term=19417
ENSMUSG00000032373	Car12	carbonic anhydrase 12	76459	https://www.ncbi.nlm.nih.gov/gene/?term=76459
ENSMUSG00000033209	Ttc28	tetratricopeptide repeat domain 28	209683	https://www.ncbi.nlm.nih.gov/gene/?term=209683
ENSMUSG00000033715	Akr1c14	aldo-keto reductase family 1, member C14	105387	https://www.ncbi.nlm.nih.gov/gene/?term=105387
ENSMUSG00000034235	Usp54	ubiquitin specific peptidase 54	78787	https://www.ncbi.nlm.nih.gov/gene/?term=78787
ENSMUSG00000034303	Ccdc15	coiled-coil domain containing 15	245902	https://www.ncbi.nlm.nih.gov/gene/?term=245902
ENSMUSG00000034825	Nrip3	nuclear receptor interacting protein 3	78593	https://www.ncbi.nlm.nih.gov/gene/?term=78593
ENSMUSG00000034832	Tet3	tet methylcytosine dioxygenase 3	194388	https://www.ncbi.nlm.nih.gov/gene/?term=194388
ENSMUSG00000035403	Crb2	crumbs family member 2	241324	https://www.ncbi.nlm.nih.gov/gene/?term=241324
ENSMUSG00000036040	Adamtsl2	ADAMTS-like 2	77794	https://www.ncbi.nlm.nih.gov/gene/?term=77794
ENSMUSG00000036281	Snapc4	small nuclear RNA activating complex, polypeptide 4	227644	https://www.ncbi.nlm.nih.gov/gene/?term=227644
ENSMUSG00000036523	Greb1	gene regulated by estrogen in breast cancer protein	268527	https://www.ncbi.nlm.nih.gov/gene/?term=268527
ENSMUSG00000037138	Aff3	AF4/FMR2 family, member 3	16764	https://www.ncbi.nlm.nih.gov/gene/?term=16764
ENSMUSG00000037490	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	353169	https://www.ncbi.nlm.nih.gov/gene/?term=353169
ENSMUSG00000037816	Fbxw17	F-box and WD-40 domain protein 17	109082	https://www.ncbi.nlm.nih.gov/gene/?term=109082
ENSMUSG00000038024	Dennd4c	DENN/MADD domain containing 4C	329877	https://www.ncbi.nlm.nih.gov/gene/?term=329877
ENSMUSG00000038522	Mfsd4b1	major facilitator superfamily domain containing 4B1	215929	https://www.ncbi.nlm.nih.gov/gene/?term=215929
ENSMUSG00000038663	Fsd2	fibronectin type III and SPRY domain containing 2	244091	https://www.ncbi.nlm.nih.gov/gene/?term=244091
ENSMUSG00000038670	Mybpc2	myosin binding protein C, fast-type	233199	https://www.ncbi.nlm.nih.gov/gene/?term=233199
ENSMUSG00000040054	Baz2a	bromodomain adjacent to zinc finger domain, 2A	116848	https://www.ncbi.nlm.nih.gov/gene/?term=116848
ENSMUSG00000041797	Abca9	ATP-binding cassette, sub-family A (ABC1), member 9	217262	https://www.ncbi.nlm.nih.gov/gene/?term=217262
ENSMUSG00000042453	Reln	reelin	19699	https://www.ncbi.nlm.nih.gov/gene/?term=19699
ENSMUSG00000047502	Mroh7	maestro heat-like repeat family member 7	381538	https://www.ncbi.nlm.nih.gov/gene/?term=381538
ENSMUSG00000048899	Rimkla	ribosomal modification protein rimK-like family member A	194237	https://www.ncbi.nlm.nih.gov/gene/?term=194237
ENSMUSG00000050271	Prag1	PEAK1 related kinase activating pseudokinase 1	244418	https://www.ncbi.nlm.nih.gov/gene/?term=244418
ENSMUSG00000051910	Sox6	SRY (sex determining region Y)-box 6	20679	https://www.ncbi.nlm.nih.gov/gene/?term=20679
