cluster	gene	symbol
1	ENSMUSG00000000247	Lhx2
1	ENSMUSG00000000567	Sox9
1	ENSMUSG00000001025	S100a6
1	ENSMUSG00000001228	Uhrf1
1	ENSMUSG00000001247	Lsr
1	ENSMUSG00000001403	Ube2c
1	ENSMUSG00000001506	Col1a1
1	ENSMUSG00000001510	Dlx3
1	ENSMUSG00000003038	Hmgn2
1	ENSMUSG00000003309	Ap1m2
1	ENSMUSG00000003355	Fkbp11
1	ENSMUSG00000004347	Pde1c
1	ENSMUSG00000004864	Mapk13
1	ENSMUSG00000005220	Corin
1	ENSMUSG00000005268	Prlr
1	ENSMUSG00000006058	Snf8
1	ENSMUSG00000006649	Nphs1
1	ENSMUSG00000008601	Rab25
1	ENSMUSG00000015880	Ncapg
1	ENSMUSG00000016763	Scube1
1	ENSMUSG00000017588	Krt27
1	ENSMUSG00000017724	Etv4
1	ENSMUSG00000018819	Lsp1
1	ENSMUSG00000019880	Rspo3
1	ENSMUSG00000019932	Kera
1	ENSMUSG00000020216	Jsrp1
1	ENSMUSG00000020491	2810021J22Rik
1	ENSMUSG00000020583	Matn3
1	ENSMUSG00000020649	Rrm2
1	ENSMUSG00000020656	Grhl1
1	ENSMUSG00000020722	Cacng1
1	ENSMUSG00000020889	Nr1d1
1	ENSMUSG00000021287	Xrcc3
1	ENSMUSG00000021469	Msx2
1	ENSMUSG00000021604	Irx4
1	ENSMUSG00000021943	Gdf10
1	ENSMUSG00000022123	Scel
1	ENSMUSG00000022425	Enpp2
1	ENSMUSG00000022440	C1qtnf6
1	ENSMUSG00000022464	Slc38a4
1	ENSMUSG00000022483	Col2a1
1	ENSMUSG00000022510	Trp63
1	ENSMUSG00000023169	Slc38a1
1	ENSMUSG00000024048	Myl12a
1	ENSMUSG00000024538	Ppic
1	ENSMUSG00000024660	Incenp
1	ENSMUSG00000024791	Cdca5
1	ENSMUSG00000025140	Pycr1
1	ENSMUSG00000025202	Scd3
1	ENSMUSG00000025213	Kazald1
1	ENSMUSG00000025330	Padi4
1	ENSMUSG00000025481	Urah
1	ENSMUSG00000025574	Tk1
1	ENSMUSG00000025577	Cbx2
1	ENSMUSG00000025794	Rpl14
1	ENSMUSG00000026414	Tnnt2
1	ENSMUSG00000026459	Myog
1	ENSMUSG00000027208	Fgf7
1	ENSMUSG00000027239	Mdk
1	ENSMUSG00000027326	Casc5
1	ENSMUSG00000027356	Fermt1
1	ENSMUSG00000027533	Fabp5
1	ENSMUSG00000027596	a
1	ENSMUSG00000027996	Sfrp2
1	ENSMUSG00000028020	Glrb
1	ENSMUSG00000028236	Sdr16c5
1	ENSMUSG00000028407	Toporsos
1	ENSMUSG00000028640	Tfap2c
1	ENSMUSG00000028786	Tmem54
1	ENSMUSG00000029177	Cenpa
1	ENSMUSG00000029304	Spp1
1	ENSMUSG00000029414	Kntc1
1	ENSMUSG00000029417	Cxcl9
1	ENSMUSG00000030074	Gxylt2
1	ENSMUSG00000030110	Ret
1	ENSMUSG00000030166	Rad52
1	ENSMUSG00000030303	Far2
1	ENSMUSG00000030677	Kif22
1	ENSMUSG00000031230	Fgf16
1	ENSMUSG00000031312	Itgb1bp2
1	ENSMUSG00000031380	Figf
1	ENSMUSG00000031461	Myom2
1	ENSMUSG00000032503	Arpp21
1	ENSMUSG00000032518	Rpsa
1	ENSMUSG00000032783	Troap
1	ENSMUSG00000032852	Rspo4
1	ENSMUSG00000034324	Tmem132c
1	ENSMUSG00000034394	Lif
1	ENSMUSG00000034648	Lrrn1
1	ENSMUSG00000034892	Rps29
1	ENSMUSG00000035020	Epgn
1	ENSMUSG00000035373	Ccl7
1	ENSMUSG00000035385	Ccl2
1	ENSMUSG00000035557	Krt17
1	ENSMUSG00000035799	Twist1
1	ENSMUSG00000035831	Krt25
1	ENSMUSG00000036151	Tm6sf2
1	ENSMUSG00000036306	Lzts1
1	ENSMUSG00000037279	Ovol2
1	ENSMUSG00000037568	Vash2
1	ENSMUSG00000037600	Kdf1
1	ENSMUSG00000037601	Nme1
1	ENSMUSG00000037805	Rpl10a
1	ENSMUSG00000038550	Ciart
1	ENSMUSG00000039748	Exo1
1	ENSMUSG00000040055	Gjb6
1	ENSMUSG00000040204	2810417H13Rik
1	ENSMUSG00000040310	Alx4
1	ENSMUSG00000040387	Klhl32
1	ENSMUSG00000040429	Mterf1a
1	ENSMUSG00000040434	Gyltl1b
1	ENSMUSG00000040728	Esrp1
1	ENSMUSG00000040797	Iqsec3
1	ENSMUSG00000040952	Rps19
1	ENSMUSG00000041219	Arhgap11a
1	ENSMUSG00000041347	Bdkrb1
1	ENSMUSG00000041841	Rpl37
1	ENSMUSG00000041911	Dlx1
1	ENSMUSG00000042367	Gjb3
1	ENSMUSG00000042436	Mfap4
1	ENSMUSG00000043430	Psapl1
1	ENSMUSG00000044641	Pard6b
1	ENSMUSG00000045777	Ifitm10
1	ENSMUSG00000046330	Rpl37a
1	ENSMUSG00000046352	Gjb2
1	ENSMUSG00000046761	Fam83h
1	ENSMUSG00000047501	Cldn4
1	ENSMUSG00000047757	Fancb
1	ENSMUSG00000047821	Trim16
1	ENSMUSG00000047832	Cdca4
1	ENSMUSG00000048251	Bcl11b
1	ENSMUSG00000048373	Fgfbp1
1	ENSMUSG00000049382	Krt8
1	ENSMUSG00000049517	Rps23
1	ENSMUSG00000050777	Tmem37
1	ENSMUSG00000051118	Olfr77
1	ENSMUSG00000051397	Tacstd2
1	ENSMUSG00000053522	Lgals7
1	ENSMUSG00000054717	Hmgb2
1	ENSMUSG00000054752	Fsd1l
1	ENSMUSG00000054889	Dsp
1	ENSMUSG00000055937	Krt28
1	ENSMUSG00000056851	Pcbp2
1	ENSMUSG00000057278	Snrpg
1	ENSMUSG00000057454	Lypd3
1	ENSMUSG00000058173	Smco4
1	ENSMUSG00000058260	Serpina9
1	ENSMUSG00000058558	Rpl5
1	ENSMUSG00000058665	En1
1	ENSMUSG00000058914	C1qtnf3
