cluster	gene
1	ENSMUSG00000000247
1	ENSMUSG00000000567
1	ENSMUSG00000001025
1	ENSMUSG00000001228
1	ENSMUSG00000001247
1	ENSMUSG00000001403
1	ENSMUSG00000001506
1	ENSMUSG00000001510
1	ENSMUSG00000003038
1	ENSMUSG00000003309
1	ENSMUSG00000003355
1	ENSMUSG00000004347
1	ENSMUSG00000004864
1	ENSMUSG00000005220
1	ENSMUSG00000005268
1	ENSMUSG00000006058
1	ENSMUSG00000006649
1	ENSMUSG00000008601
1	ENSMUSG00000015880
1	ENSMUSG00000016763
1	ENSMUSG00000017588
1	ENSMUSG00000017724
1	ENSMUSG00000018819
1	ENSMUSG00000019880
1	ENSMUSG00000019932
1	ENSMUSG00000020216
1	ENSMUSG00000020491
1	ENSMUSG00000020583
1	ENSMUSG00000020649
1	ENSMUSG00000020656
1	ENSMUSG00000020722
1	ENSMUSG00000020889
1	ENSMUSG00000021287
1	ENSMUSG00000021469
1	ENSMUSG00000021604
1	ENSMUSG00000021943
1	ENSMUSG00000022123
1	ENSMUSG00000022425
1	ENSMUSG00000022440
1	ENSMUSG00000022464
1	ENSMUSG00000022483
1	ENSMUSG00000022510
1	ENSMUSG00000023169
1	ENSMUSG00000024048
1	ENSMUSG00000024538
1	ENSMUSG00000024660
1	ENSMUSG00000024791
1	ENSMUSG00000025140
1	ENSMUSG00000025202
1	ENSMUSG00000025213
1	ENSMUSG00000025330
1	ENSMUSG00000025481
1	ENSMUSG00000025574
1	ENSMUSG00000025577
1	ENSMUSG00000025794
1	ENSMUSG00000026414
1	ENSMUSG00000026459
1	ENSMUSG00000027208
1	ENSMUSG00000027239
1	ENSMUSG00000027326
1	ENSMUSG00000027356
1	ENSMUSG00000027533
1	ENSMUSG00000027596
1	ENSMUSG00000027996
1	ENSMUSG00000028020
1	ENSMUSG00000028236
1	ENSMUSG00000028407
1	ENSMUSG00000028640
1	ENSMUSG00000028786
1	ENSMUSG00000029177
1	ENSMUSG00000029304
1	ENSMUSG00000029414
1	ENSMUSG00000029417
1	ENSMUSG00000030074
1	ENSMUSG00000030110
1	ENSMUSG00000030166
1	ENSMUSG00000030303
1	ENSMUSG00000030677
1	ENSMUSG00000031230
1	ENSMUSG00000031312
1	ENSMUSG00000031380
1	ENSMUSG00000031461
1	ENSMUSG00000032503
1	ENSMUSG00000032518
1	ENSMUSG00000032783
1	ENSMUSG00000032852
1	ENSMUSG00000034324
1	ENSMUSG00000034394
