"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000020889",6791.04542293194,-2.97939412379646,0.0870460788187005,1.57501555164743e-259,2.63248099302351e-255,"Nr1d1"
"ENSMUSG00000047281",492.009172832456,-7.60634763468004,0.404187221481818,8.96697491952794e-80,7.4937009402495e-76,"Sfn"
"ENSMUSG00000022425",5420.26631960248,-1.49339121058333,0.0861133631169673,1.49632363066124e-69,8.3365177209573e-66,"Enpp2"
"ENSMUSG00000032291",553.234481603585,-3.30073556519017,0.196233489006555,1.4847727035279e-65,6.20412274169134e-62,"Crabp1"
"ENSMUSG00000059824",776.178533650935,-4.12899256929882,0.285531453202842,3.65145583653586e-48,1.01717388086434e-44,"Dbp"
"ENSMUSG00000025930",5450.23397715976,-1.58820297051404,0.11664684550814,2.07649165507185e-44,4.33831019035886e-41,"Msc"
"ENSMUSG00000027996",760.447069465719,-3.78837852471051,0.283689949014887,7.43950090100369e-42,1.24343818059376e-38,"Sfrp2"
"ENSMUSG00000024538",7587.79716684264,-1.33350125983672,0.106046767064845,2.14496763630358e-38,2.39006593821187e-35,"Ppic"
"ENSMUSG00000037443",1494.53673932563,-1.867810187647,0.151893551793533,5.02684012452312e-37,5.25116286507996e-34,"Cep85"
"ENSMUSG00000034161",2435.3132368953,-1.83300688767407,0.15046227716391,2.14709507165979e-36,2.11097335457187e-33,"Scx"
"ENSMUSG00000035385",1737.59323397649,-1.74791221555919,0.14436583964521,5.78082522651972e-36,5.36781737978059e-33,"Ccl2"
"ENSMUSG00000030074",1587.71072743479,-2.08262007654959,0.18176099637111,6.82340790386662e-33,5.70232198526133e-30,"Gxylt2"
"ENSMUSG00000023169",670.213132602444,-2.33013998945427,0.209803646443421,1.7216508102301e-31,1.25111615835591e-28,"Slc38a1"
"ENSMUSG00000035373",726.814496012681,-2.08654308209014,0.188033382376264,4.05514830917731e-31,2.82407286831623e-28,"Ccl7"
"ENSMUSG00000018819",3161.49922690939,-1.21120072216495,0.111351947931468,1.42314455779167e-29,8.20222004790687e-27,"Lsp1"
"ENSMUSG00000026100",284.952476668353,-4.00700195590856,0.361642128329356,1.65387960124994e-29,9.21431455176381e-27,"Mstn"
"ENSMUSG00000030659",1611.18195740473,-1.29447666528393,0.120478946208033,4.93121495935774e-29,2.35486648087729e-26,"Nucb2"
"ENSMUSG00000058914",30789.5490564109,-2.28086692490364,0.216777176164508,1.16653566214957e-28,5.41596584921331e-26,"C1qtnf3"
"ENSMUSG00000034648",2794.65277127836,-1.53392435171863,0.146931274317387,9.94710860576674e-28,4.37515719044172e-25,"Lrrn1"
"ENSMUSG00000020592",4154.89671057826,-1.37580891946465,0.132097587542575,1.44536659841675e-27,6.19432239126604e-25,"Sdc1"
"ENSMUSG00000001403",1165.17787050895,-2.48582091956943,0.246586065975222,7.0199712686345e-27,2.93329499459892e-24,"Ube2c"
"ENSMUSG00000039883",3807.34911659226,-2.05303366039547,0.202837183920816,1.46281250399725e-26,5.8212971885262e-24,"Lrrc17"
"ENSMUSG00000060572",3421.05755381284,-1.37383984034042,0.137041659224767,8.07384234457692e-26,2.99880446549464e-23,"Mfap2"
"ENSMUSG00000020218",6273.78185024786,-1.5669205740294,0.158647587362596,3.11860401242495e-25,1.09438947856631e-22,"Wif1"
"ENSMUSG00000035199",4683.6040380481,-1.27449372807926,0.13034685612543,1.14015805214111e-24,3.88910238438502e-22,"Arl6ip5"
"ENSMUSG00000039748",129.731279577804,-6.35537835254581,0.634668964621957,3.69481220123609e-24,1.2351018226292e-21,"Exo1"
"ENSMUSG00000037318",701.161673473273,-2.37572094012145,0.251350777712583,4.39889671906037e-24,1.44163058357598e-21,"Traf3ip3"
"ENSMUSG00000055937",152.220801702822,-6.36449416088465,0.639539060993841,6.87536902164016e-24,2.20990226591718e-21,"Krt28"
"ENSMUSG00000054675",2117.01963081071,-1.49987663240211,0.157478902576961,1.00473009439616e-23,3.10982570328469e-21,"Tmem119"
"ENSMUSG00000019932",9339.16012777908,-1.03935753705446,0.108826509846596,2.32300839842773e-23,6.93335042345018e-21,"Kera"
"ENSMUSG00000027107",5238.0352255576,-1.48884331810829,0.158409945205181,3.35204386110378e-23,9.82913352534888e-21,"Chrna1"
"ENSMUSG00000032013",160.422641122155,-3.95091695366409,0.422978234262089,6.93444673952725e-22,1.86939262587836e-19,"Trim29"
"ENSMUSG00000021994",336.236702130807,-3.1676189171079,0.351860140291931,7.4244776195803e-22,1.96972569735976e-19,"Wnt5a"
"ENSMUSG00000020649",2889.86646353944,-1.53424900244719,0.169719941857882,9.18456728395925e-22,2.39860714975148e-19,"Rrm2"
