"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000049892",14296.5880026257,1.68003443731354,0.113412776604253,7.25506433809899e-53,1.0594570452926e-48,"Rasd1"
"ENSMUSG00000073125",451.66958306954,3.37390068329497,0.238498058469054,8.67186380226296e-47,4.22117423681487e-43,"Xlr3b"
"ENSMUSG00000032291",553.234481603585,2.1451148442877,0.197431858056144,3.59621365953565e-28,5.83505645224435e-25,"Crabp1"
"ENSMUSG00000100622",167.811531400175,7.78709140500083,0.852841184368774,9.12275269077263e-21,7.83644456137369e-18,"RP24-447G12.2"
"ENSMUSG00000043613",1525.13945536085,1.83183621679572,0.227070900061759,1.78959814825095e-18,1.08889590662119e-15,"Mmp3"
"ENSMUSG00000050578",5271.27599937513,2.77641183535485,0.371064027137639,1.03094015258787e-14,4.06887001303802e-12,"Mmp13"
"ENSMUSG00000009185",300.42679140131,2.56155564217794,0.34507792696947,1.83259718878438e-14,7.04247809153112e-12,"Ccl8"
"ENSMUSG00000020218",6273.78185024786,1.06737821339353,0.163170858917103,7.99594486676318e-14,2.59477295309651e-11,"Wif1"
"ENSMUSG00000024987",394.726396573412,2.24797132295698,0.333717586055922,8.49658700904624e-13,2.28410650964487e-10,"Cyp26a1"
"ENSMUSG00000045573",605.407706788241,1.82468869760115,0.304168515147452,1.21592885385937e-12,3.11512439524708e-10,"Penk"
"ENSMUSG00000029304",3757.9330069708,1.00095708960831,0.159959194828007,1.95623220509292e-12,4.76114314849532e-10,"Spp1"
"ENSMUSG00000015354",2360.83514040473,1.03511459604652,0.169133743222183,2.27689631893077e-12,5.45074048284361e-10,"Pcolce2"
"ENSMUSG00000025510",1165.08290472571,1.58460941316307,0.31043962218222,1.47245054427646e-11,2.84074574979092e-09,"Cd151"
"ENSMUSG00000051159",129.894643837963,1.94708772877194,0.350199269950006,4.45998460252942e-11,7.8468861627394e-09,"Cited1"
"ENSMUSG00000001020",1408.52785058669,1.07368672080351,0.197240117049914,5.01073181772593e-11,8.71091865883949e-09,"S100a4"
"ENSMUSG00000031613",490.608398415567,1.40777347735267,0.297830585292474,6.63003379025432e-11,1.10387420299926e-08,"Hpgd"
"ENSMUSG00000004945",605.543430988413,1.02612615809349,0.185063183203509,7.42954633415877e-11,1.20548516797467e-08,"Tmem242"
"ENSMUSG00000026697",2109.03383482722,1.1043944236468,0.212431599344014,1.03190964031273e-10,1.63793222581379e-08,"Myoc"
"ENSMUSG00000026840",662.76207719246,1.19449270851249,0.276657730899312,2.4178673448759e-09,2.99221329129006e-07,"Lamc3"
"ENSMUSG00000004371",66.7869993915856,2.65707430415224,0.495225834770619,2.82675026585929e-09,3.38352738789698e-07,"Il11"
"ENSMUSG00000086605",51.9856496987966,4.10466663567106,0.809575980698931,3.20416837435156e-09,3.77342506214966e-07,"Gm14290"
"ENSMUSG00000039323",195.610888195444,1.95244198846171,0.495721500517205,4.54346563978137e-08,4.25309158575176e-06,"Igfbp2"
"ENSMUSG00000024803",245.311886046133,2.2017408489286,0.521923133659015,4.8753801804601e-08,4.44969854845368e-06,"Ankrd1"
"ENSMUSG00000025185",799.647519147431,1.11587443243879,0.289709531099914,5.20626086684814e-08,4.69302638509774e-06,"Loxl4"
"ENSMUSG00000026725",101.227741887239,2.64401578588699,0.640153607118716,1.67663905636219e-07,1.39908343657469e-05,"Tnn"
"ENSMUSG00000059237",103.378320840134,4.09012101141157,1.03120874219898,1.89239922870424e-07,1.5342763742201e-05,"Ppp1r2-ps4"
"ENSMUSG00000094800",297.482174694335,2.59121244654958,0.814548544236476,1.38635250329781e-06,8.65166906224696e-05,"Gm9780"
"ENSMUSG00000041193",295.511520948003,1.09031785286894,0.379901046652577,2.27458947122459e-06,0.000133934798581825,"Pla2g5"
"ENSMUSG00000020220",342.141046154913,1.05866128097677,0.38270583590889,3.84355279791467e-06,0.000211801515124332,"Vps13d"
"ENSMUSG00000052276",23.7235517027747,3.25227961809597,1.31675069736389,4.23665267778799e-06,0.000226622121075963,"Ostn"
"ENSMUSG00000046808",295.691349104046,1.01192647799123,0.369204687759431,5.79136938720654e-06,0.000296741639162727,"Atp10d"
"ENSMUSG00000058064",143.067293729444,5.26317433430729,3.27426551695159,7.56211390772241e-06,0.000375610712226089,"Gm10036"
"ENSMUSG00000017491",308.721153095252,1.05817777374658,0.430363796089664,8.72357968452666e-06,0.000424634780443809,"Rarb"
"ENSMUSG00000070713",882.93017902551,3.41814671769776,1.79644581236233,9.09000583165509e-06,0.000435217557900522,"Gm10282"
"ENSMUSG00000043531",145.679693755544,1.43959267107654,0.695032636487035,1.05286308981523e-05,0.000485014501595326,"Sorcs1"
"ENSMUSG00000005220",88.1504149689965,2.53979523389616,1.44982098178367,1.73713015616289e-05,0.000735284396244832,"Corin"
"ENSMUSG00000020701",78.8659245656509,1.46709071712146,0.820812920031726,2.28300606224113e-05,0.00093648139120526,"Tmem132e"
"ENSMUSG00000094651",26.1360437973847,2.09686805202931,1.23561254916897,2.3546425487266e-05,0.000960470534610463,"Gal3st2"
"ENSMUSG00000050069",94.7581436702899,1.20120424006046,0.670921911999938,2.95344068077617e-05,0.00115938425433802,"Grem2"
"ENSMUSG00000015377",34.1115522616602,2.76254409329669,2.91599485732157,4.51788288374538e-05,0.00164116029232173,"Dennd6b"
"ENSMUSG00000030827",71.0069373542168,1.12724405854489,0.704539561562748,5.36798666061162e-05,0.00188153103529037,"Fgf21"
"ENSMUSG00000050243",42.9140234240875,2.32354745204567,2.9370395313958,6.79948429477347e-05,0.00228779748628841,"Gm5446"
"ENSMUSG00000033458",17.4388415919556,2.00520249233189,3.11697132763663,8.82510901213989e-05,0.00283861380846429,"Fan1"
"ENSMUSG00000030017",30.4803222265213,1.13644402019534,1.24624329945911,0.000211495450353499,0.0057944991773211,"Reg3g"
"ENSMUSG00000029306",12.2198435422521,1.13748511368866,2.5007989867034,0.000218792574473841,0.00594977274681845,"Ibsp"
"ENSMUSG00000023945",17.1702200060667,1.12000869050305,1.46732706061938,0.000249247608435059,0.00660574015603841,"Slc5a7"
