geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0042303	molting cycle	http://amigo.geneontology.org/amigo/term/GO:0042303	109	8	0.6122831107227562	13.06585117227319	1.7279728958818907e-7	1.9387855891794814e-4	14178;16664;16667;20682;22418;29820;70810;110805	geneontology_Biological_Process_noRedundant	Wnt5a;Krt17;Fgf7;Sox9;Krt14;Tnfrsf19;Krt25;Foxe1
GO:0060326	cell chemotaxis	http://amigo.geneontology.org/amigo/term/GO:0060326	280	11	1.5728373486456124	6.993730158730158	4.6753699523005565e-7	2.622882543240612e-4	14825;17329;17700;18606;20085;20296;20306;20583;22121;22418;97165	geneontology_Biological_Process_noRedundant	Enpp2;Ccl2;Ccl7;Mstn;Wnt5a;Cxcl1;Rps19;Snai2;Cxcl9;Rpl13a;Hmgb2
GO:0001503	ossification	http://amigo.geneontology.org/amigo/term/GO:0001503	356	11	1.9997503432779928	5.500686641697877	4.841972252256355e-6	0.0016178579958536332	17928;20289;20319;20583;20666;20682;22418;68588;69121;74511;231633	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Lrrc17;Tmem119;Wnt5a;Chrdl2;Cthrc1;Snai2;Sox9;Myog;Sox11
mmu03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?mmu03010+16785+19896+20085+22121+267019+66475+67025+76808	175	8	0.9830233429035077	8.13815873015873	6.243977795250544e-6	0.0016178579958536332	16785;19896;20085;22121;267019;66475;67025;76808	pathway_KEGG	Rpl18a;Rps23;Rpsa;Rpl11;Rpl10a;Rps19;Rps15a;Rpl13a
GO:0072089	stem cell proliferation	http://amigo.geneontology.org/amigo/term/GO:0072089	127	7	0.7133940831356884	9.812248468941382	7.209705863875371e-6	0.0016178579958536332	14825;18426;20319;20583;20666;22418;97165	geneontology_Biological_Process_noRedundant	Sfrp2;Wnt5a;Cxcl1;Ovol1;Snai2;Sox11;Hmgb2
GO:0045445	myoblast differentiation	http://amigo.geneontology.org/amigo/term/GO:0045445	93	6	0.5224066908001498	11.485304659498208	1.3671763888556399e-5	0.0023724096405559614	16852;17329;17700;17928;20682;20969	geneontology_Biological_Process_noRedundant	Mstn;Sdc1;Lgals1;Sox9;Cxcl9;Myog
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	259	9	1.4548745474971914	6.186100386100386	1.4801129664787638e-5	0.0023724096405559614	14178;16667;18426;20682;22418;29820;55948;70810;110805	geneontology_Biological_Process_noRedundant	Sfn;Wnt5a;Krt17;Ovol1;Fgf7;Sox9;Tnfrsf19;Krt25;Foxe1
GO:0001501	skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0001501	491	12	2.7580826363749846	4.3508486082824165	1.874934390544425e-5	0.002629595482738556	12406;12818;20289;20319;20583;20666;20682;21857;22418;69121;74511;231633	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Lrrc17;Tmem119;Wnt5a;Chrdl2;Col14a1;Timp1;Snai2;Sox9;Serpinh1;Sox11
GO:0060537	muscle tissue development	http://amigo.geneontology.org/amigo/term/GO:0060537	418	11	2.3480214704780926	4.684795321637427	2.183348165241128e-5	0.0027219073793339397	11435;12818;17681;17700;17928;20289;20666;20682;22418;215031;268697	geneontology_Biological_Process_noRedundant	Msc;Scx;Mstn;Chrna1;Wnt5a;Vgll2;Col14a1;Sox9;Ccnb1;Myog;Sox11
GO:0061448	connective tissue development	http://amigo.geneontology.org/amigo/term/GO:0061448	278	9	1.5616027961552865	5.763309352517985	2.59128560158306e-5	0.002789932863020983	12406;12818;20289;20319;20583;20682;21857;22418;69121	geneontology_Biological_Process_noRedundant	Sfrp2;Scx;Wnt5a;Chrdl2;Col14a1;Timp1;Snai2;Sox9;Serpinh1
