geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0006959	humoral immune response	http://amigo.geneontology.org/amigo/term/GO:0006959	184	3	0.057421046061665204	52.24565217391305	1.4651473766447154e-5	0.016438953565953707	12260;12262;17260	geneontology_Biological_Process_noRedundant	Mef2c;C1qb;C1qc
mmu05020	Prion diseases	http://www.kegg.jp/kegg-bin/show_pathway?mmu05020+12260+12262	34	2	0.010610410685307702	188.49411764705883	4.3536203255811756e-5	0.02332094870918068	12260;12262	pathway_KEGG	C1qb;C1qc
GO:0002209	behavioral defense response	http://amigo.geneontology.org/amigo/term/GO:0002209	45	2	0.014043190612907252	142.4177777777778	7.672303064776287e-5	0.02332094870918068	17260;22333	geneontology_Biological_Process_noRedundant	Vdac1;Mef2c
GO:0002253	activation of immune response	http://amigo.geneontology.org/amigo/term/GO:0002253	368	3	0.11484209212333041	26.122826086956525	1.1613491441320178e-4	0.02332094870918068	12260;12262;17260	geneontology_Biological_Process_noRedundant	Mef2c;C1qb;C1qc
mmu05150	Staphylococcus aureus infection	http://www.kegg.jp/kegg-bin/show_pathway?mmu05150+12260+12262	56	2	0.017475970540506803	114.44285714285715	1.1918289630563628e-4	0.02332094870918068	12260;12262	pathway_KEGG	C1qb;C1qc
GO:0072376	protein activation cascade	http://amigo.geneontology.org/amigo/term/GO:0072376	60	2	0.018724254150543	106.81333333333335	1.3691442758545502e-4	0.02332094870918068	12260;12262	geneontology_Biological_Process_noRedundant	C1qb;C1qc
GO:0002250	adaptive immune response	http://amigo.geneontology.org/amigo/term/GO:0002250	397	3	0.12389214829609287	24.214609571788415	1.4549611494141246e-4	0.02332094870918068	12260;12262;17260	geneontology_Biological_Process_noRedundant	Mef2c;C1qb;C1qc
mmu05133	Pertussis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05133+12260+12262	76	2	0.023717388590687803	84.32631578947368	2.20014586694961e-4	0.03085704578396828	12260;12262	pathway_KEGG	C1qb;C1qc
GO:0033555	multicellular organismal response to stress	http://amigo.geneontology.org/amigo/term/GO:0033555	86	2	0.0268380976157783	74.52093023255814	2.81806134147633e-4	0.033106945650369	17260;22333	geneontology_Biological_Process_noRedundant	Vdac1;Mef2c
mmu04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?mmu04610+12260+12262	88	2	0.027462239420796404	72.82727272727273	2.9507081684820857e-4	0.033106945650369	12260;12262	pathway_KEGG	C1qb;C1qc
mmu05142	Chagas disease (American trypanosomiasis)	http://www.kegg.jp/kegg-bin/show_pathway?mmu05142+12260+12262	101	2	0.031519161153414056	63.45346534653465	3.8863220812634935e-4	0.039640485228887634	12260;12262	pathway_KEGG	C1qb;C1qc
