userId	geneSymbol	geneName	entrezgene	gLink
Chrdl2	Chrdl2	chordin-like 2	69121	https://www.ncbi.nlm.nih.gov/gene/?term=69121
Akr1c14	Akr1c14	aldo-keto reductase family 1, member C14	105387	https://www.ncbi.nlm.nih.gov/gene/?term=105387
Myh14	Myh14	myosin, heavy polypeptide 14	71960	https://www.ncbi.nlm.nih.gov/gene/?term=71960
Sesn1	Sesn1	sestrin 1	140742	https://www.ncbi.nlm.nih.gov/gene/?term=140742
Gm21541	Gm21541	predicted gene, 21541	100862177	https://www.ncbi.nlm.nih.gov/gene/?term=100862177
Car12	Car12	carbonic anhydrase 12	76459	https://www.ncbi.nlm.nih.gov/gene/?term=76459
Cep85	Cep85	centrosomal protein 85	70012	https://www.ncbi.nlm.nih.gov/gene/?term=70012
Max	Max	Max protein	17187	https://www.ncbi.nlm.nih.gov/gene/?term=17187
Fat3	Fat3	FAT atypical cadherin 3	270120	https://www.ncbi.nlm.nih.gov/gene/?term=270120
Dclk3	Dclk3	doublecortin-like kinase 3	245038	https://www.ncbi.nlm.nih.gov/gene/?term=245038
Fam199x	Fam199x	family with sequence similarity 199, X-linked	245622	https://www.ncbi.nlm.nih.gov/gene/?term=245622
Sesn2	Sesn2	sestrin 2	230784	https://www.ncbi.nlm.nih.gov/gene/?term=230784
Fbxw17	Fbxw17	F-box and WD-40 domain protein 17	109082	https://www.ncbi.nlm.nih.gov/gene/?term=109082
Slc2a12	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	353169	https://www.ncbi.nlm.nih.gov/gene/?term=353169
Vldlr	Vldlr	very low density lipoprotein receptor	22359	https://www.ncbi.nlm.nih.gov/gene/?term=22359
Pi16	Pi16	peptidase inhibitor 16	74116	https://www.ncbi.nlm.nih.gov/gene/?term=74116
Ksr2	Ksr2	kinase suppressor of ras 2	333050	https://www.ncbi.nlm.nih.gov/gene/?term=333050
Dct	Dct	dopachrome tautomerase	13190	https://www.ncbi.nlm.nih.gov/gene/?term=13190
Gbp9	Gbp9	guanylate-binding protein 9	236573	https://www.ncbi.nlm.nih.gov/gene/?term=236573
Dhcr24	Dhcr24	24-dehydrocholesterol reductase	74754	https://www.ncbi.nlm.nih.gov/gene/?term=74754
Olfm2	Olfm2	olfactomedin 2	244723	https://www.ncbi.nlm.nih.gov/gene/?term=244723
Dbh	Dbh	dopamine beta hydroxylase	13166	https://www.ncbi.nlm.nih.gov/gene/?term=13166
Efcab7	Efcab7	EF-hand calcium binding domain 7	230500	https://www.ncbi.nlm.nih.gov/gene/?term=230500
Fam163b	Fam163b	family with sequence similarity 163, member B	109349	https://www.ncbi.nlm.nih.gov/gene/?term=109349
Pof1b	Pof1b	premature ovarian failure 1B	69693	https://www.ncbi.nlm.nih.gov/gene/?term=69693
Serpina3j	Serpina3j	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3J	238395	https://www.ncbi.nlm.nih.gov/gene/?term=238395
P2ry14	P2ry14	purinergic receptor P2Y, G-protein coupled, 14	140795	https://www.ncbi.nlm.nih.gov/gene/?term=140795
Cyp2g1	Cyp2g1	cytochrome P450, family 2, subfamily g, polypeptide 1	13108	https://www.ncbi.nlm.nih.gov/gene/?term=13108
Tyrobp	Tyrobp	TYRO protein tyrosine kinase binding protein	22177	https://www.ncbi.nlm.nih.gov/gene/?term=22177
Gm3883	Gm3883	predicted gene 3883	100042519	https://www.ncbi.nlm.nih.gov/gene/?term=100042519
Lhfpl4	Lhfpl4	lipoma HMGIC fusion partner-like protein 4	269788	https://www.ncbi.nlm.nih.gov/gene/?term=269788
Ugt1a1	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1	394436	https://www.ncbi.nlm.nih.gov/gene/?term=394436
Adcy8	Adcy8	adenylate cyclase 8	11514	https://www.ncbi.nlm.nih.gov/gene/?term=11514
Arnt2	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	11864	https://www.ncbi.nlm.nih.gov/gene/?term=11864
Greb1	Greb1	gene regulated by estrogen in breast cancer protein	268527	https://www.ncbi.nlm.nih.gov/gene/?term=268527
Syk	Syk	spleen tyrosine kinase	20963	https://www.ncbi.nlm.nih.gov/gene/?term=20963
Fam107a	Fam107a	family with sequence similarity 107, member A	268709	https://www.ncbi.nlm.nih.gov/gene/?term=268709
Dnah2	Dnah2	dynein, axonemal, heavy chain 2	327954	https://www.ncbi.nlm.nih.gov/gene/?term=327954
Sdr16c6	Sdr16c6	short chain dehydrogenase/reductase family 16C, member 6	242286	https://www.ncbi.nlm.nih.gov/gene/?term=242286
