userId	geneSymbol	geneName	entrezgene	gLink
Dnah2	Dnah2	dynein, axonemal, heavy chain 2	327954	https://www.ncbi.nlm.nih.gov/gene/?term=327954
Vdac1	Vdac1	voltage-dependent anion channel 1	22333	https://www.ncbi.nlm.nih.gov/gene/?term=22333
Syk	Syk	spleen tyrosine kinase	20963	https://www.ncbi.nlm.nih.gov/gene/?term=20963
Sesn2	Sesn2	sestrin 2	230784	https://www.ncbi.nlm.nih.gov/gene/?term=230784
Chrdl2	Chrdl2	chordin-like 2	69121	https://www.ncbi.nlm.nih.gov/gene/?term=69121
Dclk3	Dclk3	doublecortin-like kinase 3	245038	https://www.ncbi.nlm.nih.gov/gene/?term=245038
P2ry14	P2ry14	purinergic receptor P2Y, G-protein coupled, 14	140795	https://www.ncbi.nlm.nih.gov/gene/?term=140795
C1qc	C1qc	complement component 1, q subcomponent, C chain	12262	https://www.ncbi.nlm.nih.gov/gene/?term=12262
C1qb	C1qb	complement component 1, q subcomponent, beta polypeptide	12260	https://www.ncbi.nlm.nih.gov/gene/?term=12260
Sesn1	Sesn1	sestrin 1	140742	https://www.ncbi.nlm.nih.gov/gene/?term=140742
Fam199x	Fam199x	family with sequence similarity 199, X-linked	245622	https://www.ncbi.nlm.nih.gov/gene/?term=245622
Lhfpl4	Lhfpl4	lipoma HMGIC fusion partner-like protein 4	269788	https://www.ncbi.nlm.nih.gov/gene/?term=269788
Max	Max	Max protein	17187	https://www.ncbi.nlm.nih.gov/gene/?term=17187
Efcab7	Efcab7	EF-hand calcium binding domain 7	230500	https://www.ncbi.nlm.nih.gov/gene/?term=230500
