userId	geneSymbol	geneName	entrezgene	gLink
Rasd1	Rasd1	RAS, dexamethasone-induced 1	19416	https://www.ncbi.nlm.nih.gov/gene/?term=19416
Xlr3b	Xlr3b	X-linked lymphocyte-regulated 3B	574437	https://www.ncbi.nlm.nih.gov/gene/?term=574437
Crabp1	Crabp1	cellular retinoic acid binding protein I	12903	https://www.ncbi.nlm.nih.gov/gene/?term=12903
Mmp3	Mmp3	matrix metallopeptidase 3	17392	https://www.ncbi.nlm.nih.gov/gene/?term=17392
Mmp13	Mmp13	matrix metallopeptidase 13	17386	https://www.ncbi.nlm.nih.gov/gene/?term=17386
Ccl8	Ccl8	chemokine (C-C motif) ligand 8	20307	https://www.ncbi.nlm.nih.gov/gene/?term=20307
Wif1	Wif1	Wnt inhibitory factor 1	24117	https://www.ncbi.nlm.nih.gov/gene/?term=24117
Cyp26a1	Cyp26a1	cytochrome P450, family 26, subfamily a, polypeptide 1	13082	https://www.ncbi.nlm.nih.gov/gene/?term=13082
Penk	Penk	preproenkephalin	18619	https://www.ncbi.nlm.nih.gov/gene/?term=18619
Spp1	Spp1	secreted phosphoprotein 1	20750	https://www.ncbi.nlm.nih.gov/gene/?term=20750
Pcolce2	Pcolce2	procollagen C-endopeptidase enhancer 2	76477	https://www.ncbi.nlm.nih.gov/gene/?term=76477
Cd151	Cd151	CD151 antigen	12476	https://www.ncbi.nlm.nih.gov/gene/?term=12476
Cited1	Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	12705	https://www.ncbi.nlm.nih.gov/gene/?term=12705
S100a4	S100a4	S100 calcium binding protein A4	20198	https://www.ncbi.nlm.nih.gov/gene/?term=20198
Hpgd	Hpgd	hydroxyprostaglandin dehydrogenase 15 (NAD)	15446	https://www.ncbi.nlm.nih.gov/gene/?term=15446
Tmem242	Tmem242	transmembrane protein 242	70544	https://www.ncbi.nlm.nih.gov/gene/?term=70544
Myoc	Myoc	myocilin	17926	https://www.ncbi.nlm.nih.gov/gene/?term=17926
Lamc3	Lamc3	laminin gamma 3	23928	https://www.ncbi.nlm.nih.gov/gene/?term=23928
Il11	Il11	interleukin 11	16156	https://www.ncbi.nlm.nih.gov/gene/?term=16156
Gm14290	Gm14290	predicted gene 14290	99104	https://www.ncbi.nlm.nih.gov/gene/?term=99104
Igfbp2	Igfbp2	insulin-like growth factor binding protein 2	16008	https://www.ncbi.nlm.nih.gov/gene/?term=16008
Ankrd1	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	107765	https://www.ncbi.nlm.nih.gov/gene/?term=107765
Loxl4	Loxl4	lysyl oxidase-like 4	67573	https://www.ncbi.nlm.nih.gov/gene/?term=67573
Tnn	Tnn	tenascin N	329278	https://www.ncbi.nlm.nih.gov/gene/?term=329278
Ppp1r2-ps4	Ppp1r2-ps4	protein phosphatase 1, regulatory (inhibitor) subunit 2, pseudogene 4	623488	https://www.ncbi.nlm.nih.gov/gene/?term=623488
Gm9780	Gm9780	predicted gene 9780	100039175	https://www.ncbi.nlm.nih.gov/gene/?term=100039175
Pla2g5	Pla2g5	phospholipase A2, group V	18784	https://www.ncbi.nlm.nih.gov/gene/?term=18784
Vps13d	Vps13d	vacuolar protein sorting 13D	230895	https://www.ncbi.nlm.nih.gov/gene/?term=230895
Ostn	Ostn	osteocrin	239790	https://www.ncbi.nlm.nih.gov/gene/?term=239790
Atp10d	Atp10d	ATPase, class V, type 10D	231287	https://www.ncbi.nlm.nih.gov/gene/?term=231287
Gm10036	Gm10036	NA	100040551	https://www.ncbi.nlm.nih.gov/gene/?term=100040551
Rarb	Rarb	retinoic acid receptor, beta	218772	https://www.ncbi.nlm.nih.gov/gene/?term=218772
Gm10282	Gm10282	NA	100042405	https://www.ncbi.nlm.nih.gov/gene/?term=100042405
Sorcs1	Sorcs1	sortilin-related VPS10 domain containing receptor 1	58178	https://www.ncbi.nlm.nih.gov/gene/?term=58178
Corin	Corin	corin	53419	https://www.ncbi.nlm.nih.gov/gene/?term=53419
Tmem132e	Tmem132e	transmembrane protein 132E	270893	https://www.ncbi.nlm.nih.gov/gene/?term=270893
Gal3st2	Gal3st2	galactose-3-O-sulfotransferase 2	381334	https://www.ncbi.nlm.nih.gov/gene/?term=381334
Grem2	Grem2	gremlin 2, DAN family BMP antagonist	23893	https://www.ncbi.nlm.nih.gov/gene/?term=23893
Dennd6b	Dennd6b	DENN/MADD domain containing 6B	69440	https://www.ncbi.nlm.nih.gov/gene/?term=69440
Fgf21	Fgf21	NA	56636	https://www.ncbi.nlm.nih.gov/gene/?term=56636
Gm5446	Gm5446	predicted gene 5446	432730	https://www.ncbi.nlm.nih.gov/gene/?term=432730
Fan1	Fan1	FANCD2/FANCI-associated nuclease 1	330554	https://www.ncbi.nlm.nih.gov/gene/?term=330554
Reg3g	Reg3g	regenerating islet-derived 3 gamma	19695	https://www.ncbi.nlm.nih.gov/gene/?term=19695
Ibsp	Ibsp	integrin binding sialoprotein	15891	https://www.ncbi.nlm.nih.gov/gene/?term=15891
Slc5a7	Slc5a7	solute carrier family 5 (choline transporter), member 7	63993	https://www.ncbi.nlm.nih.gov/gene/?term=63993
